evaluations raw_y
1 1.3691128149
5 1.5923566879
9 2.2281639929
279 2.6427061311
928 2.7352297593
936 2.7839643653
1018 3.1172069825
5082 3.1172069825
evaluations raw_y
1 1.5006002401
6 1.5923566879
12 1.7730496454
21 1.8142235123
23 1.8573551263
65 2.1367521368
215 2.1663778163
272 2.2935779817
745 2.3277467412
768 2.3629489603
781 2.5987525988
1164 3.6231884058
1476 3.7993920973
5082 3.7993920973
evaluations raw_y
1 1.1737089202
5 1.6425755585
7 2.1663778163
180 2.2281639929
605 2.3277467412
665 2.3629489603
708 2.5150905433
728 2.6881720430
873 2.8344671202
898 3.1172069825
5082 3.1172069825
evaluations raw_y
1 1.0766580534
2 1.3455328310
6 1.4318442153
7 1.5006002401
13 1.5299877601
22 1.8796992481
163 2.0000000000
262 2.0798668885
309 2.1367521368
489 2.1663778163
525 2.3629489603
731 3.1172069825
869 3.4626038781
5082 3.4626038781
evaluations raw_y
1 1.1230907457
3 1.2388503469
4 1.5299877601
14 1.6778523490
39 2.1367521368
532 2.8868360277
701 3.3875338753
5082 3.3156498674
evaluations raw_y
1 0.9578544061
4 1.2007684918
5 1.2388503469
12 1.5451174289
24 1.6087516088
68 1.7337031900
84 2.0259319287
169 2.1968365554
296 2.3629489603
540 2.5987525988
738 2.6427061311
766 2.7352297593
855 2.7839643653
912 3.1172069825
5082 3.1172069825
evaluations raw_y
1 1.3340448239
2 1.4450867052
3 1.5006002401
9 1.6087516088
21 1.7934002869
172 1.9025875190
263 2.1367521368
437 2.3992322457
652 2.4366471735
873 2.5562372188
881 2.8868360277
1431 2.9976019185
5082 2.8868360277
evaluations raw_y
1 1.8573551263
45 1.9747235387
73 2.0798668885
171 2.1367521368
335 2.3992322457
640 2.6881720430
717 3.0562347188
911 3.1172069825
1016 3.1806615776
1051 3.8940809969
5082 3.8940809969
evaluations raw_y
1 1.2291052114
3 1.3812154696
10 1.4723203769
12 1.6254876463
22 1.8355359765
82 2.1079258010
218 2.2935779817
366 2.3629489603
536 2.5150905433
1022 2.6427061311
1131 2.8868360277
1312 2.9411764706
1342 3.1806615776
1409 3.3156498674
5082 3.3156498674
evaluations raw_y
1 1.4585764294
9 1.6087516088
19 1.6254876463
24 1.7146776406
65 1.8573551263
99 2.5562372188
579 2.6427061311
727 2.9411764706
982 2.9976019185
1042 3.3875338753
1129 3.8940809969
5082 3.8940809969
evaluations raw_y
1 1.1230907457
2 1.2899896801
5 1.3116474292
7 1.8355359765
46 1.9260400616
72 1.9500780031
110 2.1367521368
346 2.1968365554
620 2.6427061311
853 2.7352297593
1113 2.9976019185
1176 3.3156498674
5082 3.3156498674
evaluations raw_y
1 0.8350033400
2 1.2388503469
6 1.3455328310
7 1.6425755585
17 1.7531556802
53 1.8142235123
151 2.0525451560
195 2.1367521368
235 2.3629489603
358 2.3992322457
743 2.4752475248
880 3.2467532468
5082 2.8344671202
evaluations raw_y
1 1.1071744907
2 1.5151515152
16 2.0000000000
30 2.0525451560
232 2.2281639929
494 2.3277467412
508 2.6427061311
717 3.1172069825
5082 2.9411764706
evaluations raw_y
1 1.2899896801
5 1.4188422247
6 1.5762925599
18 2.1367521368
163 2.1663778163
219 2.1968365554
257 2.4366471735
493 2.5987525988
908 2.6427061311
978 2.6881720430
1109 2.8344671202
1115 2.9976019185
5082 2.9976019185
evaluations raw_y
1 0.8871540099
2 1.1563367253
3 1.3935340022
6 1.4318442153
8 1.6425755585
10 2.0000000000
137 2.1968365554
157 2.2935779817
430 2.7352297593
793 2.8344671202
1198 2.8868360277
5082 2.8868360277
evaluations raw_y
1 0.8218277449
2 1.4450867052
5 1.7146776406
15 1.8796992481
126 1.9025875190
150 1.9747235387
175 2.0525451560
231 2.6881720430
628 2.7352297593
869 2.8344671202
920 2.8868360277
932 3.4626038781
1103 3.5410764873
5082 3.5410764873
evaluations raw_y
1 1.3007284079
2 1.7146776406
17 1.8796992481
76 1.9260400616
115 1.9747235387
129 2.3629489603
234 2.5987525988
768 2.6427061311
799 2.7352297593
824 2.8344671202
866 3.1172069825
913 3.7993920973
1094 3.8940809969
5082 3.8940809969
evaluations raw_y
1 1.3007284079
2 2.0525451560
97 2.1663778163
306 2.8344671202
1119 3.1806615776
1258 3.4626038781
5082 3.4626038781
evaluations raw_y
1 1.1394712853
3 1.2794268168
17 1.6778523490
18 2.5562372188
603 2.5987525988
818 2.7839643653
938 2.9411764706
1003 3.6231884058
1077 3.9936102236
5082 3.9936102236
evaluations raw_y
1 0.8532423208
2 1.2388503469
4 1.6600265604
28 1.6960651289
45 1.7146776406
50 1.7934002869
92 1.8573551263
108 2.2281639929
287 2.5562372188
312 2.5987525988
320 2.7352297593
450 3.3156498674
1219 3.3875338753
5082 3.3875338753
