evaluations raw_y
1 0.6645401382
2 1.0548523207
4 1.3116474292
16 1.6960651289
19 1.7730496454
29 1.8796992481
33 2.0259319287
34 2.5562372188
61 2.5987525988
85 2.6881720430
145 2.7839643653
245 2.9411764706
250 3.6231884058
5004 2.2281639929
evaluations raw_y
1 1.5006002401
2 1.6778523490
14 1.7934002869
15 1.9260400616
30 2.0259319287
42 2.1079258010
135 2.1367521368
144 2.1663778163
151 3.1172069825
1374 3.3156498674
1562 3.3875338753
2934 3.7091988131
5004 2.3629489603
evaluations raw_y
1 1.3340448239
2 1.4723203769
7 1.6254876463
13 1.8796992481
39 2.0525451560
75 2.1663778163
80 2.3277467412
82 2.3629489603
168 2.4752475248
288 2.6427061311
358 3.4626038781
470 3.7091988131
2227 3.8940809969
3583 4.0983606557
3689 4.8638132296
5004 1.8796992481
evaluations raw_y
1 0.9819324430
3 1.3691128149
6 1.5923566879
21 1.7337031900
31 1.8142235123
35 2.0000000000
36 2.0798668885
97 2.2281639929
154 2.2603978300
157 2.5150905433
196 2.7352297593
218 2.7839643653
236 2.9976019185
415 3.0562347188
421 3.1172069825
1113 3.4626038781
5004 3.4626038781
evaluations raw_y
1 0.6879471657
2 1.5762925599
45 1.8142235123
55 1.9747235387
58 2.2281639929
111 2.3277467412
131 2.3629489603
201 2.8344671202
211 2.9411764706
255 3.3156498674
510 3.3875338753
589 3.5410764873
1654 3.6231884058
1792 3.9936102236
5004 3.2467532468
evaluations raw_y
1 1.2899896801
13 1.3340448239
26 1.6600265604
31 1.6778523490
35 1.9025875190
62 2.0259319287
112 2.2281639929
139 2.3629489603
158 2.4366471735
162 2.5150905433
632 2.6427061311
641 2.8344671202
683 2.9411764706
863 3.2467532468
1172 3.4626038781
1783 3.7091988131
3042 3.7993920973
5004 2.1968365554
evaluations raw_y
1 0.6849315068
2 0.8132726090
3 1.3812154696
19 1.4450867052
20 1.5006002401
30 1.7730496454
34 1.8142235123
37 1.8796992481
50 2.0798668885
113 2.2603978300
115 3.0562347188
346 3.3156498674
429 3.7091988131
433 3.9936102236
5004 1.5605493134
evaluations raw_y
1 0.9881422925
3 1.3340448239
24 1.6087516088
30 1.7934002869
48 1.9747235387
55 2.1968365554
109 2.5562372188
136 2.9976019185
157 3.1172069825
2291 3.5410764873
5004 1.8573551263
evaluations raw_y
1 0.7926442613
2 1.2100677638
3 1.3007284079
11 1.4863258026
16 1.5923566879
44 1.8573551263
52 1.9025875190
57 2.2281639929
73 2.3992322457
254 2.4366471735
259 2.6881720430
269 2.7352297593
305 2.7839643653
801 2.9411764706
1828 2.9976019185
1974 3.1172069825
2310 3.2467532468
3183 3.3156498674
3212 3.7993920973
4377 3.8940809969
5004 1.9260400616
evaluations raw_y
1 0.7543753772
2 1.4060742407
6 1.5151515152
11 1.8142235123
17 1.8573551263
19 2.0525451560
36 2.1079258010
59 2.1367521368
73 2.6881720430
91 2.8868360277
111 3.1172069825
1744 3.3875338753
4062 3.4626038781
5004 2.6427061311
evaluations raw_y
1 0.7365939894
2 1.1649580615
3 1.1825922422
19 1.7146776406
36 1.9260400616
45 2.0525451560
50 2.0798668885
60 2.3277467412
194 2.5150905433
254 2.5987525988
331 2.9411764706
739 2.9976019185
2410 3.7091988131
2433 3.7993920973
5004 2.5987525988
evaluations raw_y
1 1.2291052114
4 1.7730496454
5 2.3277467412
23 2.7352297593
70 2.7839643653
302 2.9411764706
390 3.5410764873
467 3.9936102236
1291 4.2087542088
5004 3.6231884058
evaluations raw_y
1 1.4318442153
4 1.4863258026
6 1.5006002401
11 1.8573551263
65 1.9747235387
101 2.3629489603
121 2.4366471735
209 2.4752475248
291 2.5562372188
303 2.9411764706
341 3.0562347188
397 3.1806615776
490 3.2467532468
619 3.3156498674
3280 3.3875338753
3795 3.4626038781
5004 2.1663778163
evaluations raw_y
1 1.1649580615
3 1.3812154696
31 1.6425755585
42 1.7934002869
90 1.9500780031
136 2.0798668885
165 2.2281639929
273 2.2935779817
288 2.4752475248
302 2.5987525988
306 2.7352297593
326 2.8344671202
679 3.1806615776
987 3.3156498674
1105 3.4626038781
2742 3.9936102236
5004 3.1172069825
evaluations raw_y
1 1.2291052114
7 1.5006002401
13 1.7146776406
19 1.8573551263
77 1.8796992481
78 1.9260400616
93 2.0525451560
94 2.1079258010
123 2.1968365554
147 2.3629489603
148 2.4366471735
201 2.6427061311
217 2.7352297593
263 2.7839643653
278 2.8344671202
293 3.3156498674
360 3.5410764873
1677 3.8940809969
5004 3.6231884058
evaluations raw_y
1 1.0993843448
3 1.5451174289
18 2.0000000000
43 2.0525451560
44 2.0798668885
86 2.2281639929
112 2.3992322457
223 2.4366471735
266 2.5150905433
623 2.6427061311
687 2.6881720430
727 2.9411764706
1104 3.1806615776
1381 3.3875338753
2053 3.4626038781
2064 3.7993920973
3645 3.9936102236
5004 3.7993920973
evaluations raw_y
1 1.1825922422
2 1.8573551263
30 1.9025875190
57 2.3629489603
110 2.4366471735
142 2.8868360277
171 3.3156498674
251 3.6231884058
969 4.0983606557
1270 4.2087542088
5004 2.8868360277
evaluations raw_y
1 0.8771929825
3 1.1394712853
4 1.6425755585
13 2.0525451560
66 2.1079258010
74 2.1663778163
90 2.2281639929
101 2.4366471735
231 2.8344671202
279 3.3156498674
1307 3.6231884058
5004 2.6427061311
evaluations raw_y
1 0.9637625289
