evaluations raw_y
1 0.9238728751
2 1.8573551263
4 1.9260400616
27 2.6427061311
274 2.9411764706
296 3.3875338753
391 3.8940809969
432 3.9936102236
655 4.3252595156
5004 2.4366471735
evaluations raw_y
1 1.0766580534
2 1.1478420569
3 1.2195121951
7 1.2588116818
13 1.4585764294
29 1.6960651289
41 1.8355359765
48 2.0000000000
69 2.0259319287
97 2.0525451560
102 2.1079258010
110 2.3992322457
143 2.5150905433
233 3.1806615776
1263 3.2467532468
1825 3.3875338753
1863 4.0983606557
2071 4.5787545788
5004 2.8344671202
evaluations raw_y
1 1.3572204126
2 1.3812154696
5 1.6254876463
14 1.6960651289
37 2.2935779817
58 2.3992322457
65 2.4752475248
105 2.8868360277
152 2.9411764706
170 3.1172069825
219 3.1806615776
261 3.3156498674
262 3.5410764873
524 3.7993920973
591 3.8940809969
784 4.0983606557
5004 2.3277467412
evaluations raw_y
1 1.2899896801
2 1.4723203769
7 1.4863258026
16 1.5605493134
25 1.5923566879
38 1.7730496454
57 1.9500780031
68 1.9747235387
69 2.2281639929
75 2.3992322457
91 2.4366471735
158 2.5562372188
203 2.5987525988
208 2.7839643653
214 3.2467532468
342 3.7091988131
5004 2.8344671202
evaluations raw_y
1 1.5006002401
20 1.5299877601
29 1.8355359765
80 2.0798668885
97 2.1079258010
113 2.1968365554
135 2.4366471735
152 2.7839643653
250 2.8344671202
257 3.0562347188
354 3.3875338753
1137 3.6231884058
4412 3.7993920973
4556 3.8940809969
4585 3.9936102236
5004 2.3629489603
evaluations raw_y
1 1.7146776406
52 1.7337031900
55 1.8142235123
79 2.0259319287
124 2.1079258010
209 2.3277467412
213 2.4752475248
290 2.5562372188
305 2.7352297593
342 2.8344671202
372 3.2467532468
577 3.3156498674
741 3.4626038781
2690 3.7091988131
5004 2.0259319287
evaluations raw_y
1 1.2588116818
2 1.2899896801
3 1.3935340022
15 1.5605493134
33 1.6425755585
49 2.1079258010
68 2.1367521368
75 2.2281639929
123 2.5150905433
133 2.8344671202
146 3.4626038781
161 3.7993920973
208 3.8940809969
480 3.9936102236
5004 2.4752475248
evaluations raw_y
1 1.1230907457
4 1.2899896801
5 1.6425755585
13 1.6600265604
17 1.8796992481
22 1.9260400616
33 2.0000000000
37 2.4752475248
49 2.6427061311
221 2.8344671202
246 3.0562347188
249 3.2467532468
268 3.7091988131
3393 3.8940809969
4449 4.0983606557
4528 4.3252595156
5004 2.8868360277
evaluations raw_y
1 1.2007684918
5 1.3935340022
12 1.5605493134
21 1.8142235123
25 2.2281639929
127 2.3992322457
222 2.6427061311
224 2.6881720430
558 2.8344671202
765 3.0562347188
1264 3.1172069825
2167 3.1806615776
5004 3.1806615776
evaluations raw_y
1 0.4326756663
2 0.7400828893
3 1.5299877601
10 1.8573551263
15 2.0259319287
55 2.2281639929
71 2.3277467412
89 2.4752475248
178 2.8868360277
339 3.8940809969
5004 3.2467532468
evaluations raw_y
1 1.6778523490
10 1.7531556802
13 1.8573551263
18 2.0798668885
79 2.1663778163
80 2.2935779817
85 2.4366471735
136 2.5150905433
195 2.5562372188
211 2.7352297593
213 3.3875338753
305 3.5410764873
5004 2.3992322457
evaluations raw_y
1 0.8626639061
3 1.2388503469
4 1.3812154696
5 1.6087516088
37 1.6600265604
47 1.6778523490
91 1.8142235123
98 1.9025875190
105 2.1367521368
114 2.1663778163
135 2.3277467412
190 2.4752475248
200 2.9976019185
291 3.0562347188
304 3.4626038781
1616 3.7091988131
4624 4.2087542088
5004 3.8940809969
evaluations raw_y
1 0.7263219059
2 0.8305647841
3 1.3227513228
5 1.4450867052
7 1.5762925599
17 1.7337031900
59 1.9500780031
77 2.1367521368
85 2.1663778163
90 2.2281639929
106 2.3277467412
143 2.5987525988
193 2.6881720430
248 3.7091988131
484 3.7993920973
662 4.2087542088
5004 1.1394712853
evaluations raw_y
1 0.6426735219
2 1.1825922422
18 1.4060742407
19 1.4585764294
58 1.6254876463
74 1.7531556802
87 1.8142235123
166 1.9747235387
249 2.1079258010
256 2.3277467412
297 2.3992322457
361 2.5987525988
422 2.8344671202
434 2.8868360277
443 2.9411764706
478 3.3156498674
2956 3.3875338753
4888 3.5410764873
5004 1.9025875190
evaluations raw_y
1 1.1230907457
2 1.2291052114
3 1.5006002401
10 1.6425755585
11 1.7730496454
13 1.7934002869
30 2.0525451560
37 2.1367521368
57 2.2281639929
67 2.6427061311
77 3.1172069825
88 3.2467532468
268 3.3156498674
308 3.4626038781
498 3.5410764873
679 3.7091988131
1685 4.3252595156
5004 2.8868360277
evaluations raw_y
1 1.4060742407
2 1.7730496454
10 1.8142235123
18 2.1367521368
29 2.5987525988
76 2.6881720430
215 2.9976019185
453 3.3156498674
554 3.3875338753
650 3.4626038781
701 3.6231884058
719 3.8940809969
905 4.2087542088
2804 4.4483985765
5004 4.4483985765
evaluations raw_y
1 0.9184423218
2 1.4060742407
9 1.5762925599
16 1.7531556802
23 1.8142235123
27 1.9260400616
39 2.4366471735
64 2.7352297593
81 3.0562347188
86 3.3156498674
97 3.7091988131
242 3.9936102236
1720 4.0983606557
3535 4.3252595156
5004 4.3252595156
evaluations raw_y
1 1.3572204126
2 1.3691128149
4 1.4450867052
16 1.4723203769
37 1.5299877601
42 1.6425755585
47 1.7146776406
49 1.7934002869
58 1.9747235387
64 2.1663778163
79 2.3277467412
140 2.5150905433
171 2.6881720430
180 2.8868360277
336 2.9976019185
387 3.3875338753
1124 3.4626038781
3575 3.7091988131
3596 4.0983606557
5004 2.1663778163
evaluations raw_y
1 0.9578544061
3 1.4585764294
18 1.6254876463
34 1.8355359765
50 2.1367521368
84 2.1968365554
110 2.3629489603
126 2.5562372188
156 2.6427061311
208 2.7352297593
214 2.8868360277
262 2.9411764706
275 3.2467532468
751 3.3156498674
768 3.3875338753
974 3.6231884058
1099 4.3252595156
3647 4.4483985765
5004 2.3277467412
evaluations raw_y
1 0.8771929825
3 0.9405568096
5 1.0692899914
7 1.1394712853
10 1.2487512488
26 1.5299877601
33 1.6425755585
49 1.6960651289
63 1.7337031900
67 1.8142235123
104 2.1367521368
131 2.4366471735
138 2.5150905433
155 2.7352297593
218 2.7839643653
256 2.8868360277
262 3.1806615776
342 3.2467532468
360 3.7091988131
708 3.9936102236
1106 4.0983606557
2510 4.3252595156
5004 2.5150905433
