evaluations raw_y
1 16.0000000000
2 28.0000000000
16 30.0000000000
22 32.0000000000
87 34.0000000000
110 36.0000000000
250 38.0000000000
350 40.0000000000
466 42.0000000000
1443 44.0000000000
1870 46.0000000000
5000 42.0000000000
evaluations raw_y
1 28.0000000000
2 32.0000000000
34 34.0000000000
74 36.0000000000
146 38.0000000000
223 40.0000000000
589 42.0000000000
781 44.0000000000
1235 46.0000000000
5000 46.0000000000
evaluations raw_y
1 24.0000000000
2 30.0000000000
4 32.0000000000
32 34.0000000000
50 36.0000000000
280 38.0000000000
281 40.0000000000
526 42.0000000000
3367 44.0000000000
3535 46.0000000000
3787 48.0000000000
5000 48.0000000000
evaluations raw_y
1 20.0000000000
2 28.0000000000
6 30.0000000000
41 32.0000000000
64 34.0000000000
65 36.0000000000
116 38.0000000000
381 40.0000000000
957 42.0000000000
1272 44.0000000000
2345 46.0000000000
5000 44.0000000000
evaluations raw_y
1 28.0000000000
3 30.0000000000
44 32.0000000000
85 34.0000000000
212 36.0000000000
297 38.0000000000
338 40.0000000000
788 42.0000000000
2256 44.0000000000
4742 46.0000000000
5000 46.0000000000
evaluations raw_y
1 26.0000000000
3 30.0000000000
14 32.0000000000
22 34.0000000000
55 36.0000000000
122 38.0000000000
182 40.0000000000
260 44.0000000000
5000 42.0000000000
evaluations raw_y
1 28.0000000000
2 30.0000000000
3 32.0000000000
43 34.0000000000
96 36.0000000000
221 38.0000000000
263 40.0000000000
545 42.0000000000
592 44.0000000000
1338 46.0000000000
5000 46.0000000000
evaluations raw_y
1 20.0000000000
2 26.0000000000
10 28.0000000000
12 30.0000000000
28 32.0000000000
75 34.0000000000
109 36.0000000000
143 38.0000000000
184 40.0000000000
230 42.0000000000
1282 44.0000000000
4292 46.0000000000
5000 42.0000000000
evaluations raw_y
1 20.0000000000
2 26.0000000000
7 28.0000000000
63 30.0000000000
91 32.0000000000
104 34.0000000000
128 36.0000000000
411 38.0000000000
430 40.0000000000
978 42.0000000000
1103 44.0000000000
1830 46.0000000000
5000 44.0000000000
evaluations raw_y
1 26.0000000000
6 28.0000000000
10 30.0000000000
18 32.0000000000
69 34.0000000000
149 36.0000000000
241 38.0000000000
419 40.0000000000
1764 42.0000000000
2567 44.0000000000
3530 46.0000000000
5000 46.0000000000
evaluations raw_y
1 28.0000000000
2 30.0000000000
23 32.0000000000
79 34.0000000000
114 36.0000000000
191 38.0000000000
242 40.0000000000
275 42.0000000000
797 44.0000000000
4747 46.0000000000
5000 46.0000000000
evaluations raw_y
1 20.0000000000
2 30.0000000000
26 32.0000000000
61 34.0000000000
122 36.0000000000
204 38.0000000000
217 40.0000000000
423 42.0000000000
3814 44.0000000000
5000 40.0000000000
evaluations raw_y
1 26.0000000000
2 30.0000000000
16 32.0000000000
46 34.0000000000
63 36.0000000000
116 38.0000000000
141 40.0000000000
175 42.0000000000
756 44.0000000000
5000 42.0000000000
evaluations raw_y
1 22.0000000000
2 26.0000000000
4 28.0000000000
15 32.0000000000
47 34.0000000000
114 36.0000000000
138 38.0000000000
405 40.0000000000
481 42.0000000000
511 44.0000000000
1365 46.0000000000
1723 48.0000000000
5000 48.0000000000
evaluations raw_y
1 24.0000000000
3 30.0000000000
20 32.0000000000
21 34.0000000000
81 36.0000000000
160 38.0000000000
247 40.0000000000
794 42.0000000000
1795 44.0000000000
2958 46.0000000000
5000 44.0000000000
evaluations raw_y
1 26.0000000000
3 28.0000000000
11 34.0000000000
73 36.0000000000
124 38.0000000000
163 40.0000000000
202 42.0000000000
458 44.0000000000
1434 46.0000000000
5000 46.0000000000
evaluations raw_y
1 26.0000000000
5 28.0000000000
14 30.0000000000
71 36.0000000000
222 38.0000000000
269 40.0000000000
312 42.0000000000
818 44.0000000000
961 46.0000000000
2336 48.0000000000
5000 48.0000000000
evaluations raw_y
1 28.0000000000
10 32.0000000000
35 34.0000000000
46 36.0000000000
74 38.0000000000
522 40.0000000000
743 42.0000000000
1008 44.0000000000
5000 44.0000000000
evaluations raw_y
1 30.0000000000
7 32.0000000000
42 34.0000000000
117 36.0000000000
141 38.0000000000
206 40.0000000000
1767 42.0000000000
2641 44.0000000000
3029 46.0000000000
5000 46.0000000000
evaluations raw_y
1 24.0000000000
2 28.0000000000
4 32.0000000000
29 34.0000000000
176 36.0000000000
223 38.0000000000
327 40.0000000000
650 42.0000000000
1762 44.0000000000
4097 46.0000000000
5000 44.0000000000
