evaluations raw_y
1 28.0000000000
17 30.0000000000
46 32.0000000000
89 34.0000000000
151 36.0000000000
187 38.0000000000
242 40.0000000000
587 42.0000000000
3662 44.0000000000
4021 46.0000000000
5000 46.0000000000
evaluations raw_y
1 26.0000000000
2 28.0000000000
8 30.0000000000
62 32.0000000000
87 34.0000000000
122 38.0000000000
187 40.0000000000
600 42.0000000000
708 44.0000000000
3304 46.0000000000
5000 42.0000000000
evaluations raw_y
1 22.0000000000
2 32.0000000000
28 34.0000000000
69 36.0000000000
118 38.0000000000
159 40.0000000000
225 42.0000000000
283 44.0000000000
3143 46.0000000000
3998 48.0000000000
5000 48.0000000000
evaluations raw_y
1 28.0000000000
5 30.0000000000
25 32.0000000000
41 34.0000000000
103 36.0000000000
271 38.0000000000
708 40.0000000000
792 42.0000000000
987 44.0000000000
5000 44.0000000000
evaluations raw_y
1 28.0000000000
5 30.0000000000
72 32.0000000000
183 34.0000000000
398 36.0000000000
859 38.0000000000
1192 40.0000000000
1291 42.0000000000
2093 44.0000000000
3225 46.0000000000
5000 46.0000000000
evaluations raw_y
1 30.0000000000
24 34.0000000000
43 36.0000000000
105 38.0000000000
153 40.0000000000
282 42.0000000000
1049 44.0000000000
1299 46.0000000000
5000 42.0000000000
evaluations raw_y
1 32.0000000000
50 34.0000000000
378 36.0000000000
411 38.0000000000
438 40.0000000000
665 42.0000000000
1511 44.0000000000
5000 38.0000000000
evaluations raw_y
1 24.0000000000
2 30.0000000000
4 32.0000000000
18 34.0000000000
40 36.0000000000
304 38.0000000000
474 40.0000000000
564 42.0000000000
666 44.0000000000
2606 46.0000000000
3130 48.0000000000
5000 48.0000000000
evaluations raw_y
1 18.0000000000
2 26.0000000000
22 28.0000000000
32 30.0000000000
52 32.0000000000
68 34.0000000000
85 36.0000000000
101 38.0000000000
268 40.0000000000
404 42.0000000000
1272 44.0000000000
4019 46.0000000000
5000 46.0000000000
evaluations raw_y
1 30.0000000000
15 32.0000000000
51 34.0000000000
142 36.0000000000
165 38.0000000000
171 40.0000000000
186 42.0000000000
438 44.0000000000
5000 42.0000000000
evaluations raw_y
1 22.0000000000
2 28.0000000000
7 30.0000000000
12 32.0000000000
21 34.0000000000
116 36.0000000000
146 38.0000000000
688 40.0000000000
1051 42.0000000000
1475 44.0000000000
5000 42.0000000000
evaluations raw_y
1 22.0000000000
6 24.0000000000
10 36.0000000000
327 38.0000000000
485 40.0000000000
2629 42.0000000000
4276 44.0000000000
5000 44.0000000000
evaluations raw_y
1 26.0000000000
2 28.0000000000
3 32.0000000000
25 34.0000000000
46 36.0000000000
70 38.0000000000
161 40.0000000000
574 42.0000000000
1718 44.0000000000
5000 44.0000000000
evaluations raw_y
1 22.0000000000
4 24.0000000000
5 28.0000000000
7 30.0000000000
23 32.0000000000
26 34.0000000000
197 36.0000000000
440 38.0000000000
586 40.0000000000
2885 42.0000000000
3181 44.0000000000
5000 44.0000000000
evaluations raw_y
1 30.0000000000
4 38.0000000000
321 40.0000000000
1010 42.0000000000
5000 42.0000000000
evaluations raw_y
1 24.0000000000
4 28.0000000000
63 30.0000000000
69 32.0000000000
97 34.0000000000
120 36.0000000000
123 38.0000000000
188 40.0000000000
211 42.0000000000
327 44.0000000000
1524 46.0000000000
5000 46.0000000000
evaluations raw_y
1 18.0000000000
2 26.0000000000
3 28.0000000000
18 30.0000000000
33 32.0000000000
66 34.0000000000
131 36.0000000000
231 38.0000000000
761 40.0000000000
1802 42.0000000000
2027 44.0000000000
5000 44.0000000000
evaluations raw_y
1 30.0000000000
3 32.0000000000
77 34.0000000000
116 36.0000000000
231 38.0000000000
508 40.0000000000
921 42.0000000000
1439 44.0000000000
2062 46.0000000000
4666 48.0000000000
5000 44.0000000000
evaluations raw_y
1 26.0000000000
4 28.0000000000
16 30.0000000000
39 32.0000000000
98 34.0000000000
126 36.0000000000
204 38.0000000000
321 40.0000000000
389 42.0000000000
1840 44.0000000000
2327 46.0000000000
2547 48.0000000000
5000 48.0000000000
evaluations raw_y
1 24.0000000000
2 30.0000000000
13 32.0000000000
32 34.0000000000
45 36.0000000000
118 38.0000000000
172 40.0000000000
250 42.0000000000
666 44.0000000000
692 46.0000000000
5000 44.0000000000
