evaluations raw_y
1 26.0000000000
3 28.0000000000
25 32.0000000000
57 34.0000000000
92 36.0000000000
137 38.0000000000
164 40.0000000000
435 42.0000000000
2597 44.0000000000
3580 46.0000000000
5000 46.0000000000
evaluations raw_y
1 24.0000000000
2 28.0000000000
11 30.0000000000
67 32.0000000000
81 34.0000000000
108 36.0000000000
128 38.0000000000
148 40.0000000000
228 42.0000000000
1194 44.0000000000
3279 46.0000000000
5000 44.0000000000
evaluations raw_y
1 32.0000000000
16 34.0000000000
34 36.0000000000
119 38.0000000000
252 40.0000000000
531 42.0000000000
1857 44.0000000000
5000 42.0000000000
evaluations raw_y
1 18.0000000000
3 24.0000000000
4 30.0000000000
83 32.0000000000
114 34.0000000000
131 36.0000000000
190 38.0000000000
223 40.0000000000
246 42.0000000000
404 44.0000000000
802 46.0000000000
1205 48.0000000000
5000 48.0000000000
evaluations raw_y
1 30.0000000000
91 32.0000000000
99 34.0000000000
163 36.0000000000
242 38.0000000000
530 40.0000000000
645 42.0000000000
878 44.0000000000
3700 46.0000000000
5000 46.0000000000
evaluations raw_y
1 20.0000000000
2 24.0000000000
3 32.0000000000
85 34.0000000000
141 36.0000000000
309 38.0000000000
475 40.0000000000
607 42.0000000000
2262 44.0000000000
2821 46.0000000000
5000 44.0000000000
evaluations raw_y
1 26.0000000000
3 30.0000000000
22 32.0000000000
46 34.0000000000
69 36.0000000000
171 38.0000000000
249 40.0000000000
423 42.0000000000
1976 44.0000000000
3374 46.0000000000
5000 46.0000000000
evaluations raw_y
1 22.0000000000
5 24.0000000000
6 28.0000000000
10 32.0000000000
68 34.0000000000
82 36.0000000000
123 38.0000000000
184 40.0000000000
656 42.0000000000
972 44.0000000000
1634 46.0000000000
5000 46.0000000000
evaluations raw_y
1 24.0000000000
2 28.0000000000
6 32.0000000000
26 34.0000000000
49 36.0000000000
111 38.0000000000
130 40.0000000000
445 42.0000000000
498 44.0000000000
5000 44.0000000000
evaluations raw_y
1 26.0000000000
7 36.0000000000
159 38.0000000000
204 40.0000000000
243 42.0000000000
1321 44.0000000000
5000 44.0000000000
evaluations raw_y
1 22.0000000000
2 24.0000000000
6 26.0000000000
9 28.0000000000
10 30.0000000000
104 32.0000000000
116 34.0000000000
143 36.0000000000
185 38.0000000000
299 40.0000000000
559 42.0000000000
1253 44.0000000000
1983 46.0000000000
5000 42.0000000000
evaluations raw_y
1 24.0000000000
2 28.0000000000
4 30.0000000000
30 32.0000000000
87 34.0000000000
139 36.0000000000
373 40.0000000000
723 42.0000000000
1544 44.0000000000
5000 44.0000000000
evaluations raw_y
1 20.0000000000
2 26.0000000000
4 30.0000000000
33 32.0000000000
49 34.0000000000
61 36.0000000000
115 38.0000000000
152 40.0000000000
196 42.0000000000
1262 44.0000000000
2278 46.0000000000
4520 48.0000000000
5000 46.0000000000
evaluations raw_y
1 26.0000000000
2 28.0000000000
24 30.0000000000
42 32.0000000000
121 34.0000000000
143 36.0000000000
196 38.0000000000
1053 40.0000000000
1209 42.0000000000
1518 44.0000000000
1555 46.0000000000
2442 48.0000000000
5000 48.0000000000
evaluations raw_y
1 30.0000000000
17 34.0000000000
161 36.0000000000
220 38.0000000000
415 40.0000000000
483 42.0000000000
3337 44.0000000000
4427 46.0000000000
5000 46.0000000000
evaluations raw_y
1 28.0000000000
16 30.0000000000
53 32.0000000000
58 34.0000000000
123 36.0000000000
391 38.0000000000
679 40.0000000000
2313 42.0000000000
3090 44.0000000000
3304 46.0000000000
5000 46.0000000000
evaluations raw_y
1 22.0000000000
4 28.0000000000
12 32.0000000000
58 34.0000000000
205 36.0000000000
309 38.0000000000
350 40.0000000000
444 42.0000000000
731 44.0000000000
1131 46.0000000000
5000 46.0000000000
evaluations raw_y
1 22.0000000000
3 32.0000000000
23 34.0000000000
41 36.0000000000
62 38.0000000000
164 40.0000000000
478 42.0000000000
1528 44.0000000000
4524 46.0000000000
5000 44.0000000000
evaluations raw_y
1 28.0000000000
2 32.0000000000
28 34.0000000000
61 36.0000000000
128 38.0000000000
148 40.0000000000
965 42.0000000000
2508 44.0000000000
3109 46.0000000000
5000 44.0000000000
evaluations raw_y
1 18.0000000000
2 32.0000000000
56 34.0000000000
81 36.0000000000
147 38.0000000000
332 40.0000000000
472 42.0000000000
531 44.0000000000
845 46.0000000000
1410 48.0000000000
5000 46.0000000000
