evaluations raw_y
1 1.1394712853
2 1.5762925599
12 1.6087516088
74 1.8142235123
96 1.9747235387
137 2.0000000000
150 2.4752475248
256 2.5562372188
352 2.6427061311
388 2.6881720430
565 2.8344671202
587 2.8868360277
602 3.5410764873
681 3.7091988131
1074 3.7993920973
5000 2.1079258010
evaluations raw_y
1 1.1478420569
5 1.3455328310
6 1.3935340022
9 2.0000000000
23 2.1968365554
25 2.5150905433
137 2.7839643653
148 3.0562347188
202 3.3875338753
427 3.6231884058
474 3.8940809969
760 4.0983606557
1378 4.2087542088
1465 5.0200803213
2429 5.5555555556
5000 5.5555555556
evaluations raw_y
1 0.9405568096
2 1.2487512488
7 1.3455328310
10 1.4450867052
13 1.5923566879
21 1.7934002869
33 1.9025875190
62 2.0525451560
75 2.3629489603
101 2.3992322457
112 2.5150905433
285 2.5987525988
291 2.6881720430
335 2.8868360277
346 3.7993920973
497 4.5787545788
1522 4.8638132296
5000 4.8638132296
evaluations raw_y
1 0.9462528388
3 1.0137875101
4 1.0917030568
6 1.1071744907
7 1.1916110582
11 1.5923566879
18 1.6960651289
43 1.8355359765
80 2.1968365554
87 2.5150905433
191 3.0562347188
344 3.6231884058
5000 2.5987525988
evaluations raw_y
1 1.0271158587
2 1.1394712853
5 1.2588116818
9 1.3340448239
18 1.4060742407
31 1.5006002401
40 1.7337031900
48 1.8142235123
49 1.8355359765
54 2.4366471735
106 2.6427061311
145 2.8344671202
188 3.5410764873
508 3.6231884058
614 4.0983606557
5000 4.0983606557
evaluations raw_y
1 1.1150758252
3 1.5762925599
10 1.6254876463
27 1.6778523490
37 1.7934002869
65 1.9747235387
126 2.1663778163
225 2.6427061311
608 2.7352297593
5000 2.7352297593
evaluations raw_y
1 1.1394712853
3 1.8355359765
60 1.8573551263
209 1.8796992481
217 1.9260400616
314 2.2281639929
358 2.4752475248
452 2.6427061311
709 2.8344671202
787 3.1806615776
1395 3.7091988131
5000 3.3156498674
evaluations raw_y
1 0.9184423218
3 1.2195121951
6 1.5451174289
7 1.5923566879
13 1.6778523490
24 1.7730496454
25 1.7934002869
41 2.0259319287
77 2.1968365554
88 2.5150905433
118 2.6427061311
150 2.6881720430
280 2.7839643653
335 3.3156498674
381 3.3875338753
5000 3.3875338753
evaluations raw_y
1 0.9462528388
3 1.0339123242
4 1.9025875190
51 1.9747235387
101 2.0000000000
132 2.1079258010
133 2.3277467412
136 2.5562372188
309 2.8344671202
415 2.8868360277
460 3.1806615776
502 3.2467532468
763 3.3875338753
1136 3.4626038781
1653 3.6231884058
1812 3.7091988131
3918 4.8638132296
5000 2.5150905433
evaluations raw_y
1 0.8261731659
2 1.3227513228
3 1.4060742407
16 1.4318442153
17 1.4863258026
18 1.5299877601
19 1.8796992481
29 2.0525451560
52 2.0798668885
54 2.1367521368
66 2.1968365554
153 2.2603978300
192 2.7352297593
221 2.9976019185
509 3.1172069825
637 3.2467532468
701 3.4626038781
799 3.7993920973
3385 3.9936102236
4858 4.0983606557
5000 3.1172069825
evaluations raw_y
1 0.6400409626
2 1.3116474292
3 1.3691128149
14 1.6254876463
17 1.8142235123
102 1.9260400616
115 2.1079258010
148 2.2935779817
270 2.3629489603
334 2.5150905433
372 2.9976019185
411 3.7091988131
5000 3.6231884058
evaluations raw_y
1 0.7471607890
2 1.5605493134
13 1.5923566879
21 1.6778523490
47 1.6960651289
72 1.8796992481
108 1.9260400616
125 1.9500780031
130 2.0525451560
131 2.1663778163
154 2.3629489603
219 2.3992322457
258 2.4752475248
341 2.8344671202
611 3.1172069825
622 3.7091988131
656 3.9936102236
764 4.0983606557
1202 4.3252595156
5000 4.3252595156
evaluations raw_y
1 0.7297139521
2 0.9944311854
6 1.0548523207
8 1.1478420569
11 2.6881720430
153 2.7352297593
208 2.8344671202
227 2.9976019185
756 3.1806615776
5000 3.1806615776
evaluations raw_y
1 0.6819421713
2 1.1737089202
4 1.3455328310
5 1.5151515152
34 1.7531556802
39 1.8142235123
82 2.0000000000
114 2.0259319287
116 2.1367521368
120 2.3992322457
266 2.6427061311
330 2.6881720430
355 2.8344671202
450 3.0562347188
466 3.1806615776
496 4.2087542088
673 4.8638132296
5000 2.5150905433
evaluations raw_y
1 1.6425755585
5 1.8355359765
22 2.0259319287
68 2.0525451560
97 2.2603978300
125 2.4752475248
220 2.8344671202
296 3.3156498674
1260 3.4626038781
1272 3.5410764873
5000 2.7839643653
evaluations raw_y
1 1.2100677638
3 1.2899896801
5 1.3691128149
14 1.5605493134
16 1.7146776406
53 2.0798668885
73 2.1079258010
123 2.3992322457
159 2.5562372188
212 3.0562347188
226 3.2467532468
5000 3.2467532468
evaluations raw_y
1 1.0204081633
2 1.5923566879
4 1.8573551263
12 2.0259319287
25 2.8344671202
226 2.9976019185
528 3.0562347188
558 3.5410764873
582 3.9936102236
702 4.7169811321
5000 3.9936102236
evaluations raw_y
1 0.9520182788
2 1.3812154696
7 1.5762925599
22 1.9747235387
36 2.3992322457
117 2.6427061311
311 2.9976019185
464 3.1172069825
491 3.2467532468
3884 3.4626038781
5000 3.2467532468
evaluations raw_y
1 1.3227513228
7 1.5006002401
12 1.6600265604
40 1.7146776406
73 1.7730496454
85 2.2603978300
133 2.2935779817
136 2.3992322457
197 2.5562372188
211 2.5987525988
333 2.7352297593
415 2.7839643653
454 2.9411764706
1512 2.9976019185
5000 1.5151515152
evaluations raw_y
1 0.8440243079
2 0.8922198430
3 1.5923566879
24 1.6087516088
30 1.6778523490
41 1.7730496454
60 2.2935779817
107 2.3629489603
