evaluations raw_y
1 24.0000000000
3 32.0000000000
247 34.0000000000
254 36.0000000000
685 38.0000000000
914 40.0000000000
1138 42.0000000000
5080 40.0000000000
evaluations raw_y
1 22.0000000000
2 24.0000000000
3 26.0000000000
5 30.0000000000
19 34.0000000000
259 36.0000000000
461 38.0000000000
1566 44.0000000000
2002 46.0000000000
5080 44.0000000000
evaluations raw_y
1 24.0000000000
2 26.0000000000
10 28.0000000000
14 30.0000000000
241 32.0000000000
683 34.0000000000
694 36.0000000000
1127 38.0000000000
1341 40.0000000000
1792 42.0000000000
2442 44.0000000000
2889 46.0000000000
5080 38.0000000000
evaluations raw_y
1 28.0000000000
8 30.0000000000
36 32.0000000000
252 34.0000000000
463 36.0000000000
688 38.0000000000
2444 40.0000000000
4209 42.0000000000
5080 40.0000000000
evaluations raw_y
1 30.0000000000
244 32.0000000000
251 34.0000000000
462 38.0000000000
903 40.0000000000
2235 42.0000000000
5080 40.0000000000
evaluations raw_y
1 22.0000000000
2 26.0000000000
3 32.0000000000
243 38.0000000000
697 40.0000000000
912 42.0000000000
4644 44.0000000000
5080 42.0000000000
evaluations raw_y
1 26.0000000000
2 28.0000000000
24 30.0000000000
256 32.0000000000
467 34.0000000000
906 36.0000000000
1353 38.0000000000
2222 40.0000000000
3327 42.0000000000
4865 44.0000000000
5080 38.0000000000
evaluations raw_y
1 26.0000000000
3 28.0000000000
6 30.0000000000
39 36.0000000000
253 38.0000000000
691 40.0000000000
1126 44.0000000000
5080 38.0000000000
evaluations raw_y
1 26.0000000000
6 30.0000000000
257 32.0000000000
462 34.0000000000
467 38.0000000000
693 40.0000000000
3119 42.0000000000
3773 44.0000000000
4652 46.0000000000
5080 38.0000000000
evaluations raw_y
1 28.0000000000
19 32.0000000000
242 34.0000000000
478 36.0000000000
683 38.0000000000
920 40.0000000000
2443 42.0000000000
5080 36.0000000000
evaluations raw_y
1 28.0000000000
2 30.0000000000
4 32.0000000000
9 34.0000000000
256 36.0000000000
682 38.0000000000
1347 40.0000000000
2004 42.0000000000
2221 44.0000000000
5080 40.0000000000
evaluations raw_y
1 28.0000000000
2 30.0000000000
33 32.0000000000
243 34.0000000000
461 36.0000000000
911 38.0000000000
1570 40.0000000000
2017 42.0000000000
3998 44.0000000000
5080 40.0000000000
evaluations raw_y
1 26.0000000000
5 28.0000000000
34 30.0000000000
252 32.0000000000
683 34.0000000000
903 38.0000000000
1342 42.0000000000
3544 44.0000000000
5080 38.0000000000
evaluations raw_y
1 18.0000000000
2 22.0000000000
3 28.0000000000
13 30.0000000000
20 32.0000000000
247 34.0000000000
681 36.0000000000
902 38.0000000000
1341 40.0000000000
1782 44.0000000000
5080 38.0000000000
evaluations raw_y
1 24.0000000000
2 26.0000000000
6 28.0000000000
11 30.0000000000
249 32.0000000000
468 34.0000000000
695 36.0000000000
907 38.0000000000
1125 40.0000000000
5080 34.0000000000
evaluations raw_y
1 32.0000000000
35 34.0000000000
478 36.0000000000
684 38.0000000000
910 40.0000000000
2664 42.0000000000
3323 44.0000000000
5080 44.0000000000
evaluations raw_y
1 24.0000000000
2 26.0000000000
6 32.0000000000
250 34.0000000000
697 38.0000000000
903 40.0000000000
1128 42.0000000000
2669 46.0000000000
5080 38.0000000000
evaluations raw_y
1 26.0000000000
19 28.0000000000
22 32.0000000000
245 34.0000000000
247 38.0000000000
468 40.0000000000
906 42.0000000000
2443 44.0000000000
3115 46.0000000000
5080 42.0000000000
evaluations raw_y
1 26.0000000000
3 34.0000000000
462 36.0000000000
901 38.0000000000
903 40.0000000000
4427 42.0000000000
5080 32.0000000000
evaluations raw_y
1 18.0000000000
2 28.0000000000
10 30.0000000000
248 32.0000000000
472 34.0000000000
478 36.0000000000
1567 38.0000000000
2445 40.0000000000
2883 42.0000000000
5080 38.0000000000
