evaluations raw_y
1 1.3007284079
11 1.3340448239
15 1.7531556802
38 1.9025875190
694 2.1079258010
907 2.1367521368
911 2.3992322457
1123 3.0562347188
3120 3.2467532468
5080 1.2690355330
evaluations raw_y
1 0.9405568096
2 1.0137875101
3 1.3572204126
6 1.5605493134
12 2.1367521368
682 2.5150905433
1572 2.7352297593
2668 2.8344671202
2889 2.9411764706
2896 3.1172069825
3115 3.1806615776
3541 3.3875338753
5080 2.1968365554
evaluations raw_y
1 0.7654623393
3 1.5006002401
9 1.5605493134
16 1.7531556802
25 1.9025875190
243 1.9500780031
252 2.0000000000
684 2.0259319287
907 2.1968365554
1564 2.8868360277
3104 2.9411764706
3776 2.9976019185
5080 1.5299877601
evaluations raw_y
1 1.3116474292
4 2.0259319287
5 2.1367521368
255 2.1968365554
473 2.2603978300
919 2.4366471735
1139 2.5150905433
1347 2.7839643653
2239 3.5410764873
5080 1.3007284079
evaluations raw_y
1 1.5006002401
12 1.5923566879
17 1.8573551263
39 1.9025875190
247 2.0000000000
466 2.7352297593
1349 2.8868360277
5080 1.6778523490
evaluations raw_y
1 1.0072522160
2 1.0917030568
3 1.1394712853
7 1.7146776406
16 1.9500780031
687 2.1079258010
913 3.2467532468
5080 2.1968365554
evaluations raw_y
1 0.5558025789
2 1.4188422247
3 1.5451174289
15 1.7146776406
18 1.8142235123
472 2.0259319287
1346 2.2281639929
1566 2.2935779817
1782 3.4626038781
5080 1.8355359765
evaluations raw_y
1 1.5151515152
2 1.5299877601
4 1.9260400616
253 2.2935779817
480 2.3629489603
1135 2.4752475248
1360 2.5150905433
3116 2.5562372188
3327 2.7352297593
5080 1.5151515152
evaluations raw_y
1 1.1916110582
7 1.2195121951
12 1.4060742407
16 1.7337031900
17 2.1079258010
461 2.1968365554
1137 2.2935779817
2003 2.4752475248
3116 2.5150905433
3321 2.5562372188
3336 2.6427061311
3542 2.7352297593
3767 2.8868360277
5080 1.6960651289
evaluations raw_y
1 0.6849315068
2 1.3007284079
10 1.4863258026
25 1.5006002401
242 2.0259319287
257 2.1663778163
465 2.4366471735
2238 2.5562372188
3560 2.6881720430
4216 2.8868360277
4660 3.0562347188
5080 1.4318442153
evaluations raw_y
1 0.8579272478
2 1.3455328310
5 1.3691128149
27 1.4585764294
31 1.5299877601
33 1.6600265604
260 1.9260400616
696 2.3277467412
1566 2.4752475248
1793 2.5150905433
1800 2.5562372188
2007 2.6427061311
3334 2.6881720430
5080 1.2487512488
evaluations raw_y
1 0.8626639061
3 1.3691128149
6 1.5605493134
7 1.7146776406
241 1.9025875190
463 2.0525451560
684 2.1968365554
1121 2.3992322457
1352 2.4752475248
2001 2.5562372188
2014 2.6881720430
3338 2.7839643653
5080 1.0841283608
evaluations raw_y
1 1.1825922422
2 1.3572204126
9 1.7146776406
39 2.2603978300
466 2.6881720430
1127 2.9411764706
3773 3.5410764873
5080 1.6778523490
evaluations raw_y
1 1.3227513228
5 2.3277467412
917 2.3629489603
1353 2.4366471735
2014 2.5987525988
2454 2.6881720430
2895 3.1806615776
5080 1.4585764294
evaluations raw_y
1 1.0692899914
2 1.4060742407
12 1.4863258026
22 1.9260400616
40 2.0259319287
245 2.1079258010
258 2.3277467412
917 2.3629489603
1134 3.0562347188
2663 3.3875338753
5080 2.1968365554
evaluations raw_y
1 0.7580351728
2 0.9025270758
4 1.0339123242
7 1.3340448239
13 1.6778523490
243 2.5150905433
3339 2.5987525988
3777 3.1172069825
4212 3.3156498674
4421 3.6231884058
5080 2.8868360277
evaluations raw_y
1 1.3116474292
3 2.0798668885
690 2.3629489603
1356 2.4752475248
1578 2.9976019185
3773 3.0562347188
5080 1.5762925599
evaluations raw_y
1 0.8261731659
3 0.9819324430
6 1.0917030568
8 1.5299877601
15 1.8573551263
260 2.1968365554
462 2.5150905433
1783 2.5562372188
5080 1.8796992481
evaluations raw_y
1 1.1916110582
3 1.7337031900
26 1.8573551263
248 2.0525451560
467 2.0798668885
913 2.3629489603
1127 2.4752475248
1341 2.7839643653
5080 2.2281639929
evaluations raw_y
1 1.9500780031
255 2.3992322457
462 2.7839643653
903 2.8344671202
1357 3.1172069825
5080 1.5923566879
