problem, population size, tournament size, mutation rate, mean result
LABS, 3, 2, 0.001, 3.9166699098097064
LABS, 4, 2, 0.001, 3.9451486016356485
LABS, 5, 2, 0.001, 3.772949965437624
LABS, 6, 2, 0.001, 3.8854804575543453
LABS, 7, 2, 0.001, 3.777419058273824
LABS, 8, 2, 0.001, 3.8352416835828107
LABS, 9, 2, 0.001, 3.809878482272409
LABS, 10, 2, 0.001, 3.7092512905208905
LABS, 11, 2, 0.001, 3.6163889471743245
LABS, 12, 2, 0.001, 3.782566694410393
LABS, 13, 2, 0.001, 3.625284430882563
LABS, 14, 2, 0.001, 3.7487063678526624
LABS, 15, 2, 0.001, 3.839316872951785
LABS, 16, 2, 0.001, 3.5965321261766463
LABS, 17, 2, 0.001, 3.614314246757344
LABS, 18, 2, 0.001, 3.590241151798975
LABS, 19, 2, 0.001, 3.540734143904783
LABS, 20, 2, 0.001, 3.5275968143382195
LABS, 21, 2, 0.001, 3.5904762503071757
LABS, 22, 2, 0.001, 3.83247988063257
LABS, 23, 2, 0.001, 3.5711871083812583
LABS, 24, 2, 0.001, 3.4050803360198416
LABS, 25, 2, 0.001, 3.6509789865788242
LABS, 26, 2, 0.001, 3.655075799966542
LABS, 27, 2, 0.001, 3.5890684446058154
LABS, 28, 2, 0.001, 3.5367541779962353
LABS, 29, 2, 0.001, 3.6382847848253994
LABS, 30, 2, 0.001, 3.5715053690499188
LABS, 31, 2, 0.001, 3.6137139309642308
LABS, 32, 2, 0.001, 3.54683460073084
LABS, 33, 2, 0.001, 3.4044979730870666
LABS, 34, 2, 0.001, 3.501072277880231
LABS, 35, 2, 0.001, 3.507734657596135
LABS, 36, 2, 0.001, 3.421336852040749
LABS, 37, 2, 0.001, 3.4103488354885796
LABS, 38, 2, 0.001, 3.4460375396652303
LABS, 39, 2, 0.001, 3.329899992399592
LABS, 40, 2, 0.001, 3.409798836428056
LABS, 41, 2, 0.001, 3.4641884181206626
LABS, 42, 2, 0.001, 3.5871508606430957
LABS, 43, 2, 0.001, 3.4569074185037403
LABS, 44, 2, 0.001, 3.5279754115320836
LABS, 45, 2, 0.001, 3.295513120262695
LABS, 46, 2, 0.001, 3.5626284179924435
LABS, 47, 2, 0.001, 3.279659582060772
LABS, 48, 2, 0.001, 3.4042555500601437
LABS, 49, 2, 0.001, 3.3196833797158853
LABS, 50, 2, 0.001, 3.360711548832435
LABS, 51, 2, 0.001, 3.276989104291045
LABS, 52, 2, 0.001, 3.399166531616865
LABS, 53, 2, 0.001, 3.4930644599608422
LABS, 54, 2, 0.001, 3.341617066369171
LABS, 55, 2, 0.001, 3.307499887486125
LABS, 56, 2, 0.001, 3.397156606047183
LABS, 57, 2, 0.001, 3.4411232454889467
LABS, 58, 2, 0.001, 3.3665583262803223
LABS, 59, 2, 0.001, 3.358190477701745
LABS, 60, 2, 0.001, 3.240278116002112
LABS, 61, 2, 0.001, 3.3679995810725827
LABS, 62, 2, 0.001, 3.306473931466018
LABS, 63, 2, 0.001, 3.351700910022296
LABS, 64, 2, 0.001, 3.2906785948986768
LABS, 65, 2, 0.001, 3.3238292381898327
LABS, 66, 2, 0.001, 3.491212752624616
LABS, 67, 2, 0.001, 3.359184001234547
LABS, 68, 2, 0.001, 3.2179101560340335
LABS, 69, 2, 0.001, 3.3403779818126096
LABS, 70, 2, 0.001, 3.1920329432897683
LABS, 71, 2, 0.001, 3.2389965417275817
