evaluations raw_y
1 1.5762925599
2 1.6087516088
6 1.6254876463
10 1.8796992481
22 2.1663778163
62 2.4752475248
144 2.6427061311
163 2.7352297593
185 2.8868360277
282 2.9976019185
513 3.1806615776
2776 3.4626038781
3840 3.6231884058
5000 1.0766580534
evaluations raw_y
1 1.7337031900
16 1.7730496454
28 1.8142235123
29 1.9025875190
33 1.9260400616
35 2.0259319287
43 2.4752475248
62 2.5562372188
204 2.8344671202
314 3.2467532468
335 3.3156498674
5000 1.6254876463
evaluations raw_y
1 0.8440243079
4 0.9697439876
7 1.3812154696
13 1.5762925599
14 1.6425755585
28 1.7934002869
51 2.0798668885
83 2.4752475248
123 2.8344671202
202 2.9411764706
1418 3.2467532468
1526 3.5410764873
1835 3.7091988131
5000 1.3691128149
evaluations raw_y
1 1.1916110582
2 1.2195121951
4 1.3935340022
5 1.4060742407
12 1.5923566879
21 1.6254876463
23 1.6960651289
42 1.9500780031
55 2.0000000000
66 2.1968365554
89 2.5562372188
125 2.5987525988
159 2.6881720430
185 3.1172069825
336 3.1806615776
466 3.3875338753
3186 3.7091988131
5000 1.5923566879
evaluations raw_y
1 1.3935340022
4 1.4318442153
6 1.6600265604
8 1.6778523490
12 2.0259319287
32 2.1968365554
66 3.1806615776
84 3.3875338753
382 3.4626038781
3904 3.7993920973
5000 0.9881422925
evaluations raw_y
1 1.1230907457
3 1.3572204126
4 1.7146776406
22 2.0000000000
23 2.2281639929
72 2.4366471735
284 2.5987525988
592 2.6881720430
686 2.9976019185
692 3.5410764873
992 3.9936102236
1503 4.8638132296
5000 1.1916110582
evaluations raw_y
1 0.8305647841
3 0.9184423218
7 1.1478420569
11 1.8355359765
27 1.9025875190
42 2.0798668885
56 2.5562372188
62 2.9411764706
96 3.0562347188
205 3.1172069825
256 3.1806615776
1762 3.6231884058
5000 1.0339123242
evaluations raw_y
1 0.7807620237
2 0.9520182788
3 1.2007684918
8 1.3116474292
25 1.4188422247
27 1.8355359765
43 2.0000000000
63 2.1367521368
94 2.2935779817
95 2.3629489603
126 2.4366471735
224 2.7352297593
525 2.8868360277
669 2.9411764706
695 2.9976019185
714 3.1806615776
726 3.3875338753
2833 3.5410764873
4057 3.7091988131
4839 3.8940809969
5000 1.5006002401
evaluations raw_y
1 1.4863258026
3 1.7531556802
36 1.8142235123
38 2.0525451560
85 2.1367521368
192 2.6427061311
203 2.7352297593
213 2.7839643653
292 2.9976019185
723 3.0562347188
756 3.2467532468
5000 0.6453278265
evaluations raw_y
1 0.9462528388
3 0.9758001561
4 1.2588116818
5 1.2899896801
11 1.3116474292
12 1.3572204126
16 1.6960651289
25 1.7337031900
30 1.7531556802
32 1.8142235123
35 1.8573551263
45 1.9260400616
85 2.2281639929
106 2.3629489603
108 2.4366471735
113 2.5987525988
179 2.7352297593
182 3.0562347188
202 3.1172069825
422 3.1806615776
914 3.8940809969
5000 0.8532423208
evaluations raw_y
1 1.1737089202
3 1.1916110582
5 1.2794268168
7 1.5762925599
24 1.8142235123
30 1.9500780031
36 2.1079258010
37 2.3277467412
57 2.3629489603
58 2.8868360277
83 3.1806615776
364 3.3875338753
1096 3.7091988131
5000 1.9747235387
evaluations raw_y
1 1.0339123242
5 1.1394712853
9 1.5299877601
16 1.6600265604
17 1.7146776406
21 1.7531556802
22 1.8355359765
25 2.1663778163
64 2.2281639929
73 2.2935779817
76 2.3992322457
116 2.4752475248
266 2.8344671202
275 2.8868360277
384 2.9976019185
394 3.2467532468
434 3.4626038781
585 3.8940809969
5000 1.7531556802
evaluations raw_y
1 1.0620220901
2 1.1230907457
5 1.4723203769
13 1.9025875190
21 2.2935779817
22 2.5987525988
135 2.6427061311
205 3.1806615776
652 3.5410764873
5000 2.2281639929
evaluations raw_y
1 1.6254876463
6 1.7934002869
18 2.3629489603
23 2.5562372188
33 2.8868360277
45 3.0562347188
84 3.1806615776
147 3.2467532468
285 3.3875338753
2161 3.5410764873
2412 3.6231884058
5000 1.4318442153
evaluations raw_y
1 0.8532423208
2 0.8722958828
3 0.9238728751
5 1.1394712853
13 1.3116474292
17 1.3455328310
26 1.4450867052
28 1.4863258026
35 1.5923566879
44 1.6778523490
54 1.7337031900
58 2.0000000000
105 2.2281639929
145 2.3629489603
163 2.3992322457
221 2.6427061311
236 2.9411764706
263 3.2467532468
384 3.4626038781
431 4.2087542088
1322 4.5787545788
5000 1.3935340022
evaluations raw_y
1 1.0548523207
2 1.2007684918
4 1.3116474292
12 1.3227513228
15 1.5299877601
22 1.6600265604
31 2.1663778163
83 2.1968365554
126 2.3277467412
154 2.5987525988
234 2.6881720430
256 2.7352297593
336 3.2467532468
1235 3.3875338753
4295 3.8940809969
4754 3.9936102236
5000 0.7400828893
evaluations raw_y
