evaluations raw_y
1 20.0000000000
3 26.0000000000
15 28.0000000000
21 30.0000000000
25 34.0000000000
54 36.0000000000
125 38.0000000000
234 42.0000000000
302 44.0000000000
315 46.0000000000
583 48.0000000000
5000 38.0000000000
evaluations raw_y
1 22.0000000000
5 24.0000000000
13 26.0000000000
18 28.0000000000
23 30.0000000000
32 32.0000000000
34 34.0000000000
55 36.0000000000
136 38.0000000000
159 40.0000000000
253 42.0000000000
435 44.0000000000
894 46.0000000000
5000 38.0000000000
evaluations raw_y
1 24.0000000000
2 26.0000000000
4 28.0000000000
13 30.0000000000
22 32.0000000000
46 34.0000000000
51 36.0000000000
54 38.0000000000
146 40.0000000000
193 42.0000000000
542 44.0000000000
1314 46.0000000000
1812 48.0000000000
5000 34.0000000000
evaluations raw_y
1 28.0000000000
3 30.0000000000
4 32.0000000000
15 36.0000000000
30 38.0000000000
45 40.0000000000
53 42.0000000000
122 44.0000000000
315 46.0000000000
774 48.0000000000
5000 40.0000000000
evaluations raw_y
1 20.0000000000
3 22.0000000000
8 26.0000000000
18 28.0000000000
22 30.0000000000
41 32.0000000000
66 34.0000000000
106 36.0000000000
112 38.0000000000
172 40.0000000000
246 42.0000000000
1035 44.0000000000
1394 46.0000000000
3014 48.0000000000
3704 50.0000000000
evaluations raw_y
1 28.0000000000
6 30.0000000000
12 32.0000000000
34 36.0000000000
45 38.0000000000
256 40.0000000000
400 42.0000000000
1232 44.0000000000
2823 46.0000000000
5000 36.0000000000
evaluations raw_y
1 20.0000000000
2 22.0000000000
9 24.0000000000
11 28.0000000000
15 34.0000000000
23 36.0000000000
32 38.0000000000
84 40.0000000000
294 42.0000000000
304 44.0000000000
732 46.0000000000
3983 48.0000000000
5000 46.0000000000
evaluations raw_y
1 24.0000000000
3 26.0000000000
11 30.0000000000
24 32.0000000000
37 34.0000000000
45 36.0000000000
143 38.0000000000
206 40.0000000000
291 42.0000000000
365 44.0000000000
1842 46.0000000000
3345 48.0000000000
5000 42.0000000000
evaluations raw_y
1 24.0000000000
2 26.0000000000
7 28.0000000000
20 32.0000000000
36 34.0000000000
72 36.0000000000
104 38.0000000000
280 40.0000000000
325 42.0000000000
532 44.0000000000
864 46.0000000000
4876 48.0000000000
5000 46.0000000000
evaluations raw_y
1 20.0000000000
2 22.0000000000
11 28.0000000000
15 30.0000000000
33 32.0000000000
51 34.0000000000
75 36.0000000000
110 38.0000000000
193 40.0000000000
434 42.0000000000
776 44.0000000000
1796 46.0000000000
2523 48.0000000000
5000 46.0000000000
evaluations raw_y
1 26.0000000000
4 28.0000000000
12 30.0000000000
23 32.0000000000
29 34.0000000000
60 36.0000000000
78 38.0000000000
136 40.0000000000
176 42.0000000000
372 44.0000000000
953 46.0000000000
1810 48.0000000000
5000 36.0000000000
evaluations raw_y
1 24.0000000000
3 26.0000000000
7 28.0000000000
12 30.0000000000
22 32.0000000000
34 34.0000000000
101 36.0000000000
115 38.0000000000
156 40.0000000000
258 42.0000000000
383 44.0000000000
394 46.0000000000
1155 48.0000000000
5000 32.0000000000
evaluations raw_y
1 24.0000000000
4 26.0000000000
12 28.0000000000
27 32.0000000000
45 34.0000000000
62 38.0000000000
81 40.0000000000
346 42.0000000000
411 44.0000000000
657 46.0000000000
1222 48.0000000000
3325 50.0000000000
evaluations raw_y
1 26.0000000000
3 28.0000000000
8 30.0000000000
13 34.0000000000
35 36.0000000000
73 38.0000000000
213 40.0000000000
307 42.0000000000
327 44.0000000000
483 46.0000000000
615 48.0000000000
4866 50.0000000000
evaluations raw_y
1 22.0000000000
7 24.0000000000
15 26.0000000000
21 28.0000000000
27 30.0000000000
32 32.0000000000
64 34.0000000000
74 36.0000000000
96 38.0000000000
118 40.0000000000
126 42.0000000000
423 44.0000000000
1266 46.0000000000
1282 48.0000000000
5000 38.0000000000
evaluations raw_y
1 26.0000000000
2 28.0000000000
7 30.0000000000
12 32.0000000000
82 34.0000000000
122 36.0000000000
146 38.0000000000
176 40.0000000000
362 42.0000000000
1654 44.0000000000
3164 46.0000000000
5000 34.0000000000
evaluations raw_y
1 22.0000000000
4 24.0000000000
11 26.0000000000
14 28.0000000000
19 30.0000000000
26 34.0000000000
36 36.0000000000
43 38.0000000000
63 40.0000000000
113 42.0000000000
154 44.0000000000
434 46.0000000000
836 48.0000000000
5000 42.0000000000
evaluations raw_y
1 26.0000000000
3 30.0000000000
11 32.0000000000
12 34.0000000000
22 36.0000000000
32 38.0000000000
55 40.0000000000
99 42.0000000000
125 44.0000000000
326 46.0000000000
483 48.0000000000
1895 50.0000000000
evaluations raw_y
1 28.0000000000
4 30.0000000000
18 34.0000000000
46 36.0000000000
114 38.0000000000
193 40.0000000000
384 44.0000000000
482 46.0000000000
1116 48.0000000000
5000 38.0000000000
evaluations raw_y
1 24.0000000000
2 26.0000000000
8 28.0000000000
28 30.0000000000
38 34.0000000000
61 36.0000000000
156 38.0000000000
331 40.0000000000
336 42.0000000000
446 44.0000000000
516 46.0000000000
4895 48.0000000000
5000 26.0000000000
evaluations raw_y
1 24.0000000000
3 26.0000000000
9 28.0000000000
17 30.0000000000
20 32.0000000000
31 34.0000000000
55 36.0000000000
63 38.0000000000
113 40.0000000000
283 42.0000000000
292 44.0000000000
563 46.0000000000
575 48.0000000000
5000 40.0000000000
evaluations raw_y
1 22.0000000000
7 24.0000000000
23 26.0000000000
29 28.0000000000
33 30.0000000000
51 34.0000000000
56 36.0000000000
