evaluations raw_y
1 1.5762925599
2 1.6425755585
5 1.7337031900
10 2.0798668885
12 2.4752475248
13 2.9976019185
15 3.1172069825
59 3.2467532468
89 3.7091988131
105 4.0983606557
5000 3.0562347188
evaluations raw_y
1 1.4450867052
2 1.7730496454
6 1.8796992481
19 2.3629489603
34 2.5150905433
35 2.6881720430
50 2.8868360277
60 2.9411764706
124 3.3156498674
334 3.4626038781
1003 3.5410764873
5000 2.9411764706
evaluations raw_y
1 0.8973438622
2 0.9520182788
3 1.0271158587
4 1.4060742407
5 2.2603978300
12 3.1172069825
19 3.7993920973
171 4.2087542088
2802 4.4483985765
5000 1.4863258026
evaluations raw_y
1 0.9881422925
3 1.0477787091
4 1.2487512488
5 1.5151515152
7 1.7337031900
13 1.9025875190
22 1.9260400616
27 2.0000000000
43 2.0525451560
44 2.6427061311
57 2.9976019185
84 3.3875338753
98 3.5410764873
5000 2.6427061311
evaluations raw_y
1 1.0692899914
4 1.0766580534
5 1.3116474292
7 1.4450867052
9 2.0259319287
16 2.5987525988
73 3.1172069825
123 3.7993920973
5000 2.7839643653
evaluations raw_y
1 2.0000000000
16 2.0259319287
21 2.1367521368
39 2.4366471735
42 2.8868360277
171 3.2467532468
262 3.4626038781
659 4.0983606557
739 4.2087542088
2029 4.4483985765
5000 2.9411764706
evaluations raw_y
1 1.3455328310
5 1.4060742407
6 1.4723203769
7 1.6778523490
14 1.8142235123
23 1.8796992481
30 1.9747235387
40 2.0000000000
42 2.0798668885
43 2.1968365554
47 2.2603978300
70 2.4752475248
80 2.5562372188
101 2.6427061311
109 2.7839643653
136 3.1172069825
177 3.4626038781
1012 3.5410764873
1126 3.6231884058
2270 3.7091988131
2291 3.7993920973
2322 4.2087542088
5000 2.4752475248
evaluations raw_y
1 1.2100677638
3 1.4188422247
5 1.6087516088
6 1.6600265604
7 1.8573551263
9 1.9025875190
11 2.0525451560
31 2.1367521368
37 2.4752475248
75 2.5987525988
89 2.7352297593
113 2.7839643653
155 2.9976019185
193 3.1806615776
224 3.3156498674
230 3.3875338753
276 3.5410764873
286 3.7993920973
341 3.9936102236
358 4.0983606557
465 4.4483985765
5000 3.1172069825
evaluations raw_y
1 0.7130633200
3 0.7436049970
4 0.8922198430
5 1.0841283608
6 1.4450867052
13 1.4863258026
18 1.5762925599
23 1.6600265604
24 1.7146776406
28 1.8796992481
29 1.9260400616
35 2.2935779817
48 2.5987525988
51 2.6881720430
102 2.7839643653
154 2.8344671202
166 3.5410764873
183 3.6231884058
5000 2.3629489603
evaluations raw_y
1 1.3007284079
2 1.6254876463
4 1.7531556802
5 1.7934002869
8 1.8142235123
10 2.0259319287
15 2.0525451560
21 2.1968365554
32 2.2935779817
47 2.3277467412
75 2.4752475248
85 2.6427061311
112 3.3156498674
633 3.3875338753
642 3.4626038781
660 3.7993920973
846 3.8940809969
5000 1.3455328310
evaluations raw_y
1 1.0271158587
4 1.1649580615
5 1.2100677638
8 1.4060742407
9 1.6254876463
13 1.8355359765
14 1.9747235387
16 2.2281639929
24 2.4752475248
39 2.6881720430
71 2.7839643653
122 2.9411764706
162 3.4626038781
5000 3.3156498674
evaluations raw_y
1 2.1367521368
2 2.4366471735
28 2.5150905433
49 2.6427061311
77 2.6881720430
78 2.7839643653
113 3.1806615776
116 3.6231884058
1520 3.8940809969
5000 3.6231884058
evaluations raw_y
1 0.8007687380
2 0.8350033400
4 0.8973438622
5 0.9944311854
6 1.0137875101
7 1.1737089202
10 1.3007284079
13 1.3935340022
16 1.4450867052
18 1.4863258026
19 1.5451174289
22 1.5605493134
23 1.5923566879
42 1.8355359765
46 2.1367521368
56 2.2603978300
77 2.4366471735
107 2.5562372188
115 2.8868360277
233 2.9976019185
317 3.0562347188
436 3.5410764873
5000 2.4752475248
evaluations raw_y
1 0.7196315486
2 0.9130752374
3 0.9697439876
4 1.0692899914
5 1.0993843448
7 1.2195121951
8 1.4188422247
9 1.6425755585
15 1.6600265604
18 1.6778523490
24 1.8142235123
45 2.0525451560
77 2.1079258010
83 2.1968365554
85 2.4366471735
101 2.5562372188
126 3.4626038781
402 3.7993920973
5000 2.7839643653
evaluations raw_y
1 1.1230907457
3 1.2195121951
5 1.3227513228
6 1.9260400616
16 1.9500780031
18 1.9747235387
25 2.1968365554
28 2.3277467412
36 2.3629489603
42 2.5562372188
56 2.7352297593
66 3.0562347188
84 3.1806615776
243 3.3156498674
5000 1.9260400616
evaluations raw_y
1 0.8007687380
2 0.9462528388
5 1.0548523207
7 1.4060742407
8 1.5451174289
9 2.0000000000
10 2.5150905433
28 2.7352297593
34 2.8344671202
39 3.5410764873
60 3.7091988131
94 3.7993920973
1485 4.7169811321
5000 3.3875338753
evaluations raw_y
1 1.1825922422
3 1.2195121951
5 1.3691128149
7 1.4318442153
11 1.6778523490
18 1.7146776406
27 2.0798668885
29 2.2281639929
50 2.5562372188
61 2.6427061311
110 2.7352297593
124 2.7839643653
143 2.8868360277
219 2.9411764706
227 3.1172069825
422 3.1806615776
425 3.3875338753
445 3.4626038781
504 3.7091988131
5000 2.9411764706
evaluations raw_y
1 0.6819421713
5 0.7002801120
6 0.9349289454
7 0.9881422925
8 1.1071744907
11 1.2388503469
13 1.3340448239
17 1.4585764294
24 1.7934002869
30 2.3277467412
36 2.3992322457
43 2.4752475248
48 2.9976019185
55 3.3156498674
69 3.3875338753
176 3.4626038781
183 3.5410764873
3560 3.7993920973
5000 2.5987525988
evaluations raw_y
1 0.9130752374
2 1.1230907457
3 1.3116474292
11 1.3812154696
13 1.5299877601
23 1.9025875190
30 1.9747235387
51 2.3629489603
52 2.4752475248
84 2.8344671202
89 2.8868360277
207 3.2467532468
212 3.3156498674
231 3.3875338753
239 3.5410764873
287 3.6231884058
344 3.7091988131
