evaluations raw_y
1 28.0000000000
5 30.0000000000
7 32.0000000000
14 34.0000000000
45 36.0000000000
53 38.0000000000
94 40.0000000000
135 42.0000000000
155 44.0000000000
413 46.0000000000
1397 48.0000000000
5000 44.0000000000
evaluations raw_y
1 24.0000000000
4 26.0000000000
5 28.0000000000
13 30.0000000000
15 32.0000000000
16 34.0000000000
60 36.0000000000
88 38.0000000000
141 40.0000000000
186 42.0000000000
234 44.0000000000
256 46.0000000000
848 48.0000000000
5000 46.0000000000
evaluations raw_y
1 32.0000000000
18 34.0000000000
20 36.0000000000
21 38.0000000000
58 40.0000000000
117 42.0000000000
187 44.0000000000
204 46.0000000000
3159 48.0000000000
3690 50.0000000000
evaluations raw_y
1 28.0000000000
16 30.0000000000
18 32.0000000000
37 34.0000000000
50 38.0000000000
69 40.0000000000
97 42.0000000000
241 44.0000000000
1120 46.0000000000
1396 48.0000000000
4155 50.0000000000
evaluations raw_y
1 20.0000000000
2 22.0000000000
4 24.0000000000
12 26.0000000000
15 28.0000000000
21 30.0000000000
27 32.0000000000
33 34.0000000000
41 36.0000000000
50 38.0000000000
105 40.0000000000
117 42.0000000000
210 44.0000000000
851 46.0000000000
1631 48.0000000000
5000 48.0000000000
evaluations raw_y
1 22.0000000000
2 24.0000000000
3 26.0000000000
4 28.0000000000
5 30.0000000000
7 32.0000000000
13 34.0000000000
17 36.0000000000
29 38.0000000000
36 40.0000000000
90 42.0000000000
124 44.0000000000
486 46.0000000000
846 48.0000000000
5000 46.0000000000
evaluations raw_y
1 26.0000000000
3 28.0000000000
9 30.0000000000
11 32.0000000000
30 34.0000000000
32 36.0000000000
42 38.0000000000
140 40.0000000000
155 42.0000000000
181 44.0000000000
395 46.0000000000
906 48.0000000000
5000 46.0000000000
evaluations raw_y
1 28.0000000000
7 30.0000000000
13 32.0000000000
14 34.0000000000
25 36.0000000000
26 38.0000000000
89 40.0000000000
133 42.0000000000
176 44.0000000000
197 46.0000000000
938 48.0000000000
5000 44.0000000000
evaluations raw_y
1 24.0000000000
10 28.0000000000
11 30.0000000000
23 34.0000000000
39 36.0000000000
60 38.0000000000
109 40.0000000000
132 42.0000000000
140 44.0000000000
152 46.0000000000
346 48.0000000000
4036 50.0000000000
evaluations raw_y
1 20.0000000000
2 22.0000000000
8 24.0000000000
10 26.0000000000
12 28.0000000000
15 30.0000000000
25 32.0000000000
30 34.0000000000
31 36.0000000000
40 38.0000000000
84 40.0000000000
87 42.0000000000
186 44.0000000000
528 46.0000000000
545 48.0000000000
5000 46.0000000000
evaluations raw_y
1 20.0000000000
2 22.0000000000
5 24.0000000000
6 26.0000000000
7 28.0000000000
8 32.0000000000
10 34.0000000000
17 36.0000000000
25 38.0000000000
28 40.0000000000
129 42.0000000000
130 44.0000000000
152 46.0000000000
1390 48.0000000000
5000 46.0000000000
evaluations raw_y
1 22.0000000000
2 24.0000000000
5 26.0000000000
6 28.0000000000
8 30.0000000000
9 32.0000000000
13 34.0000000000
78 36.0000000000
160 38.0000000000
168 40.0000000000
246 42.0000000000
349 44.0000000000
436 46.0000000000
567 48.0000000000
3918 50.0000000000
evaluations raw_y
1 26.0000000000
8 30.0000000000
12 34.0000000000
30 36.0000000000
36 38.0000000000
99 40.0000000000
100 42.0000000000
164 44.0000000000
407 46.0000000000
767 48.0000000000
3874 50.0000000000
evaluations raw_y
1 22.0000000000
3 24.0000000000
4 26.0000000000
8 28.0000000000
12 30.0000000000
15 32.0000000000
29 34.0000000000
37 36.0000000000
45 38.0000000000
92 40.0000000000
123 42.0000000000
155 44.0000000000
386 46.0000000000
1802 48.0000000000
5000 44.0000000000
evaluations raw_y
1 24.0000000000
5 26.0000000000
11 28.0000000000
14 30.0000000000
15 32.0000000000
16 34.0000000000
21 36.0000000000
87 38.0000000000
120 40.0000000000
135 42.0000000000
156 44.0000000000
210 46.0000000000
2658 48.0000000000
5000 42.0000000000
evaluations raw_y
1 28.0000000000
8 30.0000000000
22 32.0000000000
30 34.0000000000
45 36.0000000000
95 38.0000000000
119 40.0000000000
124 42.0000000000
255 44.0000000000
872 46.0000000000
962 48.0000000000
1793 50.0000000000
evaluations raw_y
1 28.0000000000
6 30.0000000000
9 32.0000000000
15 34.0000000000
25 36.0000000000
37 38.0000000000
97 40.0000000000
132 42.0000000000
163 44.0000000000
274 46.0000000000
1463 48.0000000000
5000 46.0000000000
evaluations raw_y
1 30.0000000000
5 32.0000000000
7 34.0000000000
30 36.0000000000
57 38.0000000000
88 40.0000000000
140 42.0000000000
427 44.0000000000
452 46.0000000000
653 48.0000000000
5000 44.0000000000
evaluations raw_y
1 28.0000000000
10 30.0000000000
14 32.0000000000
22 34.0000000000
29 36.0000000000
77 38.0000000000
85 40.0000000000
106 42.0000000000
277 44.0000000000
470 46.0000000000
1567 48.0000000000
5000 46.0000000000
evaluations raw_y
1 30.0000000000
14 32.0000000000
15 34.0000000000
18 36.0000000000
20 38.0000000000
44 40.0000000000
64 42.0000000000
147 44.0000000000
311 46.0000000000
644 48.0000000000
5000 46.0000000000
evaluations raw_y
1 38.0000000000
9 40.0000000000
10 42.0000000000
24 44.0000000000
108 46.0000000000
3303 48.0000000000
5000 42.0000000000
evaluations raw_y
1 20.0000000000
2 22.0000000000
8 24.0000000000
9 26.0000000000
13 28.0000000000
15 30.0000000000
19 32.0000000000
22 34.0000000000
25 36.0000000000
42 38.0000000000
53 40.0000000000
115 42.0000000000
117 44.0000000000
715 46.0000000000
4851 48.0000000000
5000 42.0000000000
evaluations raw_y
1 24.0000000000
5 26.0000000000
7 28.0000000000
8 30.0000000000
16 32.0000000000
17 34.0000000000
27 36.0000000000
68 38.0000000000
74 40.0000000000
222 42.0000000000
285 44.0000000000
395 46.0000000000
723 48.0000000000
2842 50.0000000000
evaluations raw_y
1 26.0000000000
4 28.0000000000
8 30.0000000000
9 32.0000000000
16 34.0000000000
33 36.0000000000
50 38.0000000000
78 40.0000000000
95 42.0000000000
158 44.0000000000
266 46.0000000000
519 48.0000000000
1559 50.0000000000
evaluations raw_y
1 24.0000000000
4 28.0000000000
6 32.0000000000
9 34.0000000000
13 36.0000000000
66 38.0000000000
97 40.0000000000
114 42.0000000000
233 44.0000000000
299 46.0000000000
1894 48.0000000000
3091 50.0000000000
