evaluations raw_y
1 1.5762925599
3 1.5923566879
4 1.6600265604
11 1.6778523490
12 1.8796992481
14 1.9025875190
16 2.6427061311
55 3.1806615776
270 3.8940809969
329 3.9936102236
5000 1.8796992481
evaluations raw_y
1 1.2007684918
2 1.2487512488
8 1.2690355330
11 1.5923566879
14 1.7146776406
16 2.0000000000
18 2.0798668885
26 2.1079258010
35 2.2603978300
40 2.5562372188
51 2.6427061311
66 2.6881720430
91 2.9411764706
337 3.1172069825
376 3.1806615776
471 3.4626038781
570 3.5410764873
4294 3.8940809969
5000 2.7352297593
evaluations raw_y
1 1.1071744907
2 1.2195121951
6 1.2899896801
7 1.5299877601
11 1.6960651289
12 1.7337031900
18 1.9500780031
19 2.0000000000
37 2.1079258010
44 2.3277467412
51 2.5150905433
72 2.7352297593
81 2.9976019185
1631 3.5410764873
1674 3.7993920973
5000 1.0008006405
evaluations raw_y
1 1.5923566879
5 1.6254876463
24 2.0525451560
46 2.1367521368
51 2.1968365554
60 2.2603978300
66 2.3277467412
73 2.5562372188
80 2.7352297593
119 2.7839643653
150 3.3156498674
290 3.3875338753
342 3.4626038781
372 3.9936102236
5000 1.5605493134
evaluations raw_y
1 1.3455328310
4 2.1968365554
16 2.4366471735
17 3.1172069825
592 3.2467532468
616 3.3156498674
703 3.3875338753
1064 3.9936102236
5000 1.9500780031
evaluations raw_y
1 1.0548523207
3 1.3007284079
4 1.3812154696
9 1.6960651289
12 1.7337031900
13 1.8796992481
21 2.0000000000
29 2.0798668885
32 2.4366471735
36 2.4752475248
79 2.7839643653
142 2.8868360277
290 2.9411764706
300 3.1172069825
420 3.5410764873
511 3.8940809969
5000 2.2281639929
evaluations raw_y
1 1.0548523207
2 1.9260400616
5 2.3277467412
8 2.9411764706
101 3.1172069825
345 3.1806615776
711 4.2087542088
5000 2.2281639929
evaluations raw_y
1 0.9077705156
2 1.2794268168
7 1.3691128149
11 1.6254876463
22 1.6425755585
24 1.7531556802
34 1.8573551263
51 2.0259319287
53 2.1367521368
101 2.2603978300
124 2.3992322457
135 2.5150905433
152 2.6427061311
173 2.7352297593
184 2.8868360277
230 3.1806615776
251 3.2467532468
267 3.3156498674
290 3.5410764873
385 4.0983606557
5000 2.5150905433
evaluations raw_y
1 1.2487512488
6 1.5151515152
10 1.5451174289
12 1.8355359765
31 2.1367521368
40 2.3629489603
54 2.4752475248
71 3.7091988131
101 4.4483985765
5000 2.2603978300
evaluations raw_y
1 1.1649580615
2 1.4318442153
7 1.5923566879
8 1.6087516088
14 1.9747235387
28 2.0259319287
33 2.4366471735
43 2.4752475248
63 2.6427061311
84 2.6881720430
182 2.7839643653
322 2.8344671202
338 2.8868360277
418 3.3875338753
444 3.4626038781
1320 3.6231884058
1369 3.7091988131
1531 3.8940809969
1610 3.9936102236
5000 2.1079258010
evaluations raw_y
1 1.0548523207
2 1.0766580534
5 1.4450867052
8 1.5299877601
9 1.7730496454
28 2.2281639929
37 2.2603978300
40 2.2935779817
42 2.3629489603
61 2.7839643653
88 2.8344671202
139 2.8868360277
205 3.2467532468
3119 3.3156498674
3146 3.5410764873
5000 1.7531556802
evaluations raw_y
1 0.7730364873
2 1.1230907457
5 1.3572204126
7 1.7730496454
17 1.8573551263
22 2.0259319287
45 2.1367521368
64 2.2935779817
69 2.4366471735
76 2.7839643653
249 2.8868360277
347 3.1172069825
480 3.1806615776
484 3.2467532468
499 3.4626038781
592 3.6231884058
4462 3.7091988131
5000 2.1367521368
evaluations raw_y
1 1.9260400616
9 2.7352297593
31 3.1806615776
328 3.2467532468
444 3.3156498674
740 3.6231884058
742 3.7091988131
763 3.8940809969
775 5.1867219917
5000 2.8868360277
evaluations raw_y
1 0.7768800497
2 1.4450867052
9 2.0525451560
38 2.2281639929
40 2.3629489603
78 3.3875338753
84 3.5410764873
95 3.7993920973
5000 2.5150905433
evaluations raw_y
1 1.3935340022
4 1.5605493134
9 1.9747235387
12 2.1663778163
20 2.3277467412
22 2.4366471735
31 2.7839643653
1299 3.3875338753
1334 4.0983606557
5000 2.8868360277
evaluations raw_y
1 0.9184423218
6 0.9637625289
8 1.2794268168
9 1.5451174289
12 1.6778523490
15 2.1079258010
22 2.1663778163
58 2.3277467412
60 2.3992322457
64 2.7352297593
104 2.7839643653
235 3.0562347188
309 3.1172069825
322 3.1806615776
5000 2.3277467412
evaluations raw_y
1 1.2291052114
6 1.2588116818
9 1.6600265604
12 1.7730496454
16 2.2935779817
19 3.1172069825
222 3.3156498674
287 3.4626038781
305 3.7993920973
