evaluations raw_y
1 22.0000000000
7 24.0000000000
8 28.0000000000
15 30.0000000000
19 32.0000000000
25 34.0000000000
55 36.0000000000
57 38.0000000000
143 40.0000000000
178 42.0000000000
258 44.0000000000
473 46.0000000000
1833 48.0000000000
2187 50.0000000000
evaluations raw_y
1 24.0000000000
2 26.0000000000
3 28.0000000000
7 30.0000000000
8 32.0000000000
21 34.0000000000
51 36.0000000000
62 38.0000000000
110 40.0000000000
129 42.0000000000
197 44.0000000000
668 46.0000000000
769 48.0000000000
5000 48.0000000000
evaluations raw_y
1 26.0000000000
8 28.0000000000
13 30.0000000000
27 32.0000000000
43 34.0000000000
53 36.0000000000
67 38.0000000000
71 40.0000000000
149 42.0000000000
374 44.0000000000
656 46.0000000000
784 48.0000000000
5000 46.0000000000
evaluations raw_y
1 22.0000000000
2 24.0000000000
3 26.0000000000
10 28.0000000000
11 34.0000000000
12 36.0000000000
42 38.0000000000
81 40.0000000000
111 42.0000000000
128 44.0000000000
177 46.0000000000
4267 48.0000000000
5000 46.0000000000
evaluations raw_y
1 24.0000000000
5 26.0000000000
9 28.0000000000
17 30.0000000000
36 32.0000000000
50 34.0000000000
64 36.0000000000
73 38.0000000000
90 40.0000000000
127 42.0000000000
308 44.0000000000
867 46.0000000000
1173 48.0000000000
5000 42.0000000000
evaluations raw_y
1 26.0000000000
2 28.0000000000
9 34.0000000000
19 36.0000000000
95 38.0000000000
152 40.0000000000
213 42.0000000000
305 44.0000000000
342 46.0000000000
805 48.0000000000
1056 50.0000000000
evaluations raw_y
1 20.0000000000
4 24.0000000000
7 26.0000000000
15 28.0000000000
16 30.0000000000
26 32.0000000000
28 34.0000000000
30 36.0000000000
51 38.0000000000
151 40.0000000000
214 42.0000000000
291 44.0000000000
526 46.0000000000
589 48.0000000000
1356 50.0000000000
evaluations raw_y
1 28.0000000000
8 32.0000000000
20 34.0000000000
25 36.0000000000
81 38.0000000000
133 40.0000000000
175 42.0000000000
249 44.0000000000
296 46.0000000000
743 48.0000000000
1807 50.0000000000
evaluations raw_y
1 22.0000000000
6 28.0000000000
8 30.0000000000
12 32.0000000000
13 34.0000000000
14 36.0000000000
15 38.0000000000
37 40.0000000000
146 42.0000000000
353 44.0000000000
823 46.0000000000
1347 48.0000000000
5000 32.0000000000
evaluations raw_y
1 24.0000000000
4 26.0000000000
7 28.0000000000
12 30.0000000000
24 32.0000000000
27 34.0000000000
36 36.0000000000
40 38.0000000000
68 40.0000000000
291 42.0000000000
319 44.0000000000
320 46.0000000000
509 48.0000000000
5000 44.0000000000
evaluations raw_y
1 28.0000000000
2 30.0000000000
11 32.0000000000
19 34.0000000000
25 36.0000000000
36 38.0000000000
59 40.0000000000
78 42.0000000000
107 44.0000000000
410 46.0000000000
459 48.0000000000
5000 46.0000000000
evaluations raw_y
1 26.0000000000
8 28.0000000000
10 30.0000000000
16 32.0000000000
32 34.0000000000
33 36.0000000000
34 38.0000000000
63 40.0000000000
143 42.0000000000
235 44.0000000000
851 46.0000000000
1048 48.0000000000
5000 26.0000000000
evaluations raw_y
1 24.0000000000
13 28.0000000000
16 30.0000000000
23 32.0000000000
34 34.0000000000
44 36.0000000000
52 38.0000000000
129 40.0000000000
255 42.0000000000
460 44.0000000000
483 46.0000000000
2359 48.0000000000
5000 46.0000000000
evaluations raw_y
1 30.0000000000
4 32.0000000000
8 34.0000000000
21 36.0000000000
50 38.0000000000
65 40.0000000000
89 42.0000000000
139 44.0000000000
148 46.0000000000
404 48.0000000000
5000 46.0000000000
evaluations raw_y
1 20.0000000000
4 24.0000000000
6 26.0000000000
7 30.0000000000
10 32.0000000000
16 34.0000000000
20 36.0000000000
34 38.0000000000
45 40.0000000000
74 42.0000000000
106 44.0000000000
210 46.0000000000
821 48.0000000000
5000 44.0000000000
evaluations raw_y
1 26.0000000000
3 28.0000000000
6 30.0000000000
19 32.0000000000
28 34.0000000000
55 36.0000000000
77 38.0000000000
89 40.0000000000
113 42.0000000000
172 44.0000000000
519 46.0000000000
1065 48.0000000000
5000 46.0000000000
evaluations raw_y
1 26.0000000000
3 28.0000000000
13 32.0000000000
25 34.0000000000
31 36.0000000000
40 38.0000000000
41 40.0000000000
81 42.0000000000
119 44.0000000000
317 46.0000000000
2306 48.0000000000
4409 50.0000000000
evaluations raw_y
1 20.0000000000
2 22.0000000000
3 24.0000000000
9 26.0000000000
16 28.0000000000
17 30.0000000000
18 32.0000000000
23 34.0000000000
40 36.0000000000
52 38.0000000000
83 40.0000000000
166 42.0000000000
238 44.0000000000
733 46.0000000000
1449 48.0000000000
5000 34.0000000000
evaluations raw_y
1 22.0000000000
4 24.0000000000
6 26.0000000000
9 28.0000000000
19 30.0000000000
23 32.0000000000
24 34.0000000000
25 36.0000000000
57 38.0000000000
68 40.0000000000
133 42.0000000000
283 44.0000000000
1530 46.0000000000
2537 48.0000000000
5000 44.0000000000
evaluations raw_y
1 26.0000000000
4 28.0000000000
6 30.0000000000
14 32.0000000000
32 34.0000000000
74 36.0000000000
76 38.0000000000
117 40.0000000000
184 42.0000000000
432 44.0000000000
769 46.0000000000
983 48.0000000000
5000 44.0000000000
evaluations raw_y
1 24.0000000000
3 26.0000000000
8 28.0000000000
9 30.0000000000
14 32.0000000000
15 34.0000000000
32 36.0000000000
38 38.0000000000
50 40.0000000000
67 42.0000000000
118 44.0000000000
291 46.0000000000
2534 48.0000000000
5000 36.0000000000
evaluations raw_y
1 28.0000000000
2 30.0000000000
4 32.0000000000
18 34.0000000000
39 36.0000000000
62 38.0000000000
118 40.0000000000
202 42.0000000000
273 44.0000000000
379 46.0000000000
757 48.0000000000
5000 42.0000000000
evaluations raw_y
1 26.0000000000
4 28.0000000000
12 30.0000000000
13 32.0000000000
16 34.0000000000
39 36.0000000000
42 38.0000000000
59 40.0000000000
68 42.0000000000
110 44.0000000000
201 46.0000000000
357 48.0000000000
5000 46.0000000000
evaluations raw_y
1 28.0000000000
7 30.0000000000
14 32.0000000000
32 34.0000000000
50 36.0000000000
60 38.0000000000
102 40.0000000000
103 42.0000000000
145 44.0000000000
153 46.0000000000
827 48.0000000000
5000 38.0000000000
evaluations raw_y
1 30.0000000000
2 32.0000000000
7 34.0000000000
16 36.0000000000
22 38.0000000000
78 40.0000000000
238 42.0000000000
395 44.0000000000
704 46.0000000000
1374 48.0000000000
5000 36.0000000000
evaluations raw_y
1 24.0000000000
9 28.0000000000
17 30.0000000000
19 32.0000000000
24 34.0000000000
46 36.0000000000
142 38.0000000000
144 40.0000000000
209 42.0000000000
359 44.0000000000
508 46.0000000000
999 48.0000000000
5000 38.0000000000
evaluations raw_y
1 36.0000000000
12 38.0000000000
58 40.0000000000
74 42.0000000000
94 44.0000000000
517 46.0000000000
2288 48.0000000000
5000 38.0000000000
evaluations raw_y
1 26.0000000000
5 32.0000000000
30 34.0000000000
33 36.0000000000
40 38.0000000000
51 40.0000000000
100 42.0000000000
162 44.0000000000
181 46.0000000000
3455 48.0000000000
3565 50.0000000000
evaluations raw_y
1 22.0000000000
2 24.0000000000
4 26.0000000000
10 28.0000000000
16 30.0000000000
25 32.0000000000
28 34.0000000000
36 36.0000000000
45 38.0000000000
117 40.0000000000
122 42.0000000000
166 44.0000000000
187 46.0000000000
822 48.0000000000
5000 46.0000000000
evaluations raw_y
1 26.0000000000
3 28.0000000000
5 30.0000000000
14 34.0000000000
16 36.0000000000
58 38.0000000000
97 40.0000000000
166 42.0000000000
191 44.0000000000
525 46.0000000000
1846 48.0000000000
5000 44.0000000000
