evaluations raw_y
1 1.5762925599
6 1.6600265604
15 1.7146776406
16 1.7730496454
25 1.8142235123
26 2.2935779817
43 2.3629489603
44 2.3992322457
53 2.5562372188
61 2.5987525988
62 2.7839643653
83 3.1806615776
130 3.7091988131
131 3.9936102236
143 4.0983606557
5000 3.0562347188
evaluations raw_y
1 0.6589351608
2 0.8090614887
5 1.0407993339
6 1.0477787091
7 1.0766580534
12 1.0841283608
15 1.3007284079
23 1.3116474292
25 1.4450867052
29 1.5451174289
30 1.8796992481
31 2.1367521368
36 2.3277467412
38 2.7839643653
39 2.9976019185
40 3.1172069825
42 3.4626038781
5000 2.5987525988
evaluations raw_y
1 1.4060742407
3 1.6425755585
5 1.6600265604
6 1.7934002869
8 2.1968365554
11 2.2935779817
21 2.3992322457
26 2.6427061311
33 2.6881720430
47 2.7839643653
53 2.9411764706
59 3.0562347188
176 3.1172069825
5000 2.5562372188
evaluations raw_y
1 1.3572204126
15 1.6600265604
18 1.7146776406
20 1.8573551263
22 2.5150905433
28 2.7839643653
41 2.8868360277
43 2.9976019185
68 3.2467532468
103 3.3156498674
5000 2.9976019185
evaluations raw_y
1 0.7768800497
2 0.8132726090
4 0.9293680297
5 1.1230907457
8 1.5299877601
9 1.6254876463
10 1.7337031900
16 1.9747235387
19 2.0259319287
23 2.2935779817
33 2.4752475248
37 2.5150905433
44 2.5987525988
45 2.6881720430
49 3.1172069825
92 3.2467532468
161 3.3156498674
169 3.6231884058
238 3.7091988131
5000 3.0562347188
evaluations raw_y
1 1.5006002401
8 1.5923566879
9 1.6778523490
11 1.8142235123
17 2.1663778163
23 2.5150905433
59 2.6881720430
70 2.7352297593
105 2.7839643653
120 2.8868360277
146 3.1172069825
155 3.2467532468
160 3.3156498674
5000 2.3992322457
evaluations raw_y
1 0.9697439876
4 1.3227513228
5 1.3691128149
6 1.5006002401
9 1.7531556802
10 1.8573551263
14 1.8796992481
17 1.9747235387
23 2.0525451560
27 2.1367521368
36 2.5562372188
37 2.7839643653
47 2.9976019185
62 3.2467532468
72 3.6231884058
5000 2.7839643653
evaluations raw_y
1 1.4863258026
2 1.5151515152
4 1.5605493134
19 1.6425755585
27 1.7531556802
37 1.9025875190
38 2.3277467412
48 2.8868360277
61 2.9976019185
69 3.0562347188
88 3.7091988131
97 3.8940809969
5000 2.8344671202
evaluations raw_y
1 1.1394712853
6 1.2291052114
8 1.3812154696
9 1.4450867052
16 1.4585764294
17 1.6254876463
20 1.6778523490
22 1.9260400616
24 2.0525451560
25 2.1367521368
33 2.2281639929
36 2.4366471735
42 2.6427061311
45 2.8868360277
84 3.1172069825
127 3.1806615776
168 3.3875338753
197 3.7091988131
213 3.7993920973
5000 2.2603978300
evaluations raw_y
1 0.5104124132
2 0.5385609651
3 0.6645401382
4 0.7654623393
7 0.8218277449
12 0.8771929825
13 1.0271158587
15 1.1230907457
16 1.1825922422
21 1.3455328310
23 1.4585764294
27 1.5299877601
28 1.6254876463
32 2.1367521368
45 2.3629489603
47 2.5150905433
63 2.6881720430
69 2.7839643653
78 2.9976019185
96 3.3875338753
164 3.4626038781
171 3.7091988131
178 4.0983606557
5000 3.3875338753
evaluations raw_y
1 1.0008006405
2 1.0407993339
3 1.2388503469
5 1.2487512488
7 1.3572204126
8 1.3691128149
9 1.4318442153
10 1.5923566879
13 1.6425755585
15 1.6778523490
27 2.0525451560
34 2.3277467412
43 2.5987525988
65 2.6427061311
73 3.0562347188
78 3.2467532468
97 3.6231884058
103 3.7091988131
5000 2.3629489603
evaluations raw_y
1 0.9697439876
2 1.3227513228
4 1.3572204126
6 1.4585764294
10 1.7337031900
16 1.9260400616
17 1.9747235387
18 2.2603978300
34 2.4366471735
37 2.5562372188
44 2.7352297593
55 3.4626038781
5000 2.7352297593
evaluations raw_y
1 1.7146776406
4 1.7337031900
5 1.9747235387
7 2.0798668885
13 2.1367521368
16 2.4366471735
18 2.7352297593
34 3.1172069825
62 3.1806615776
93 3.2467532468
100 3.3156498674
108 3.3875338753
120 3.7091988131
130 3.7993920973
172 3.8940809969
5000 2.4752475248
evaluations raw_y
1 1.5006002401
3 1.7337031900
6 2.1367521368
8 2.3277467412
19 2.5150905433
26 2.8868360277
43 3.1172069825
68 3.3156498674
76 3.5410764873
160 3.9936102236
5000 2.7839643653
evaluations raw_y
1 0.9184423218
2 1.0917030568
4 1.0993843448
6 1.5006002401
10 1.5451174289
11 1.6600265604
16 1.6778523490
26 1.7531556802
31 1.8796992481
37 2.1367521368
40 2.3277467412
48 2.4752475248
56 2.5562372188
58 2.6427061311
92 2.7839643653
112 2.9411764706
123 3.0562347188
126 3.2467532468
170 3.3875338753
202 3.5410764873
5000 2.4366471735
evaluations raw_y
1 1.2291052114
4 1.3455328310
6 1.4585764294
10 2.1367521368
17 2.2935779817
26 3.3156498674
28 3.8940809969
5000 2.6881720430
evaluations raw_y
1 2.1367521368
2 2.3629489603
11 2.4366471735
14 2.4752475248
17 2.6427061311
58 2.7839643653
5000 2.6427061311
evaluations raw_y
1 1.2007684918
3 1.3116474292
8 1.5762925599
14 1.8142235123
25 1.8355359765
26 2.1968365554
27 2.3277467412
31 3.1172069825
5000 2.1968365554
evaluations raw_y
1 1.6087516088
2 1.9260400616
7 1.9747235387
11 2.0798668885
12 2.1367521368
19 2.4366471735
24 2.5987525988
32 2.6881720430
39 2.9411764706
48 3.2467532468
86 3.3156498674
104 3.3875338753
143 3.7993920973
5000 2.4366471735
evaluations raw_y
1 1.0917030568
2 1.1071744907
3 1.2195121951
4 1.2690355330
8 1.3340448239
18 1.4723203769
22 1.6778523490
23 2.0798668885
28 2.4366471735
34 2.5150905433
50 3.7091988131
63 3.9936102236
67 4.8638132296
5000 4.8638132296
evaluations raw_y
1 1.3116474292
5 1.7337031900
6 1.9025875190
8 2.1968365554
10 2.2281639929
13 2.2935779817
30 2.3277467412
33 2.5150905433
49 2.5562372188
50 2.6427061311
52 2.8868360277
75 2.9411764706
109 3.0562347188
147 3.2467532468
149 3.3875338753
157 3.5410764873
5000 2.8344671202
evaluations raw_y
1 1.1737089202
4 1.2899896801
8 1.3572204126
9 1.3812154696
14 1.6778523490
18 2.7839643653
21 3.0562347188
24 3.3875338753
59 3.7091988131
103 3.9936102236
5000 2.4366471735
evaluations raw_y
1 0.5763024435
3 0.7034327518
4 0.7196315486
5 0.7730364873
6 0.8350033400
7 0.9184423218
9 1.0339123242
16 1.1394712853
17 1.2007684918
18 1.5605493134
22 1.6425755585
25 1.7337031900
27 2.1663778163
29 2.5987525988
51 2.8868360277
66 3.1172069825
71 3.1806615776
5000 3.1172069825
evaluations raw_y
1 1.5451174289
2 1.7146776406
4 1.7730496454
8 1.9500780031
16 2.2935779817
17 2.5562372188
28 2.8868360277
32 2.9411764706
46 2.9976019185
64 3.5410764873
5000 2.1663778163
evaluations raw_y
1 0.9578544061
2 1.1394712853
3 1.1825922422
4 1.4060742407
5 1.5923566879
6 1.7337031900
20 2.1079258010
25 2.3277467412
39 2.9976019185
45 3.0562347188
48 3.1172069825
52 3.5410764873
5000 3.1806615776
evaluations raw_y
1 0.9758001561
4 1.1071744907
5 1.1394712853
7 1.4060742407
9 1.5151515152
11 2.0259319287
12 2.0525451560
15 2.2603978300
16 2.5987525988
44 2.6427061311
63 3.2467532468
79 3.4626038781
140 3.9936102236
5000 2.1968365554
evaluations raw_y
1 1.4723203769
3 1.6778523490
4 1.8142235123
12 2.2935779817
15 2.4752475248
38 2.6427061311
50 2.9976019185
87 3.3156498674
93 3.3875338753
126 3.9936102236
158 4.0983606557
203 4.7169811321
5000 3.2467532468
evaluations raw_y
1 0.6029908345
4 0.6789788159
5 0.8394895903
7 0.9462528388
10 0.9819324430
12 1.1394712853
13 1.1478420569
21 1.4060742407
22 1.6425755585
23 2.0259319287
36 2.3629489603
41 2.3992322457
60 2.6881720430
81 2.7839643653
86 2.8344671202
120 2.8868360277
156 3.1172069825
180 3.1806615776
188 3.6231884058
5000 2.6881720430
evaluations raw_y
1 0.9578544061
4 1.0137875101
6 1.0339123242
8 1.3007284079
9 1.3227513228
15 1.5299877601
20 1.8355359765
23 1.9260400616
28 2.0259319287
33 2.1663778163
38 2.2281639929
39 2.3992322457
44 2.4366471735
58 2.8344671202
69 2.9976019185
72 3.1806615776
81 3.3875338753
5000 2.6881720430
evaluations raw_y
1 0.7331378299
2 0.7730364873
3 0.8486082824
4 0.8722958828
6 0.9520182788
7 1.0548523207
9 1.2588116818
12 1.2899896801
16 1.3227513228
22 1.3691128149
23 1.6254876463
28 1.8573551263
35 2.1968365554
37 3.0562347188
46 3.6231884058
53 3.7091988131
5000 3.3875338753
