evaluations raw_y
1 1.5762925599
12 1.6600265604
28 1.7934002869
70 2.0259319287
94 2.0798668885
126 2.2281639929
131 2.4752475248
161 2.7839643653
210 3.0562347188
260 3.1806615776
320 3.2467532468
577 3.3156498674
1226 3.3875338753
5001 1.4450867052
evaluations raw_y
1 1.1737089202
4 1.8573551263
20 1.9260400616
35 2.0259319287
54 2.1968365554
56 2.2935779817
84 2.4366471735
156 2.7352297593
201 2.8868360277
233 2.9976019185
394 3.0562347188
411 3.3156498674
880 3.3875338753
1762 3.7091988131
1961 3.8940809969
2100 3.9936102236
2287 4.4483985765
5000 2.8868360277
evaluations raw_y
1 1.1312217195
2 1.1563367253
3 1.4188422247
23 1.4318442153
29 1.6425755585
34 1.7934002869
67 2.3277467412
74 2.4366471735
153 3.1806615776
202 3.2467532468
247 3.5410764873
5001 2.3629489603
evaluations raw_y
1 0.6561679790
2 1.0841283608
3 1.2291052114
4 1.2899896801
10 1.5006002401
20 1.9747235387
65 2.0000000000
86 2.2281639929
201 2.4752475248
205 2.7352297593
302 2.9411764706
1160 3.1806615776
4865 3.3875338753
5000 3.3875338753
evaluations raw_y
1 1.3227513228
10 1.6600265604
15 1.6778523490
17 1.7730496454
27 2.2603978300
43 2.4366471735
161 2.7352297593
306 2.8868360277
3584 2.9976019185
3617 3.3156498674
3749 3.3875338753
3920 3.4626038781
5000 2.2935779817
evaluations raw_y
1 0.9758001561
2 1.1825922422
7 1.3455328310
15 1.6425755585
20 1.7730496454
22 2.1663778163
43 2.3992322457
97 2.4752475248
164 2.5150905433
180 3.1172069825
678 3.2467532468
3298 3.3156498674
3381 3.4626038781
5000 2.8868360277
evaluations raw_y
1 1.2487512488
2 1.3572204126
9 1.6425755585
30 1.7730496454
31 1.7934002869
44 1.8796992481
64 2.0000000000
99 2.1079258010
158 2.2935779817
178 2.7839643653
508 2.8344671202
642 3.3875338753
690 3.8940809969
791 3.9936102236
5001 2.5150905433
evaluations raw_y
1 1.6425755585
5 1.7531556802
13 2.1663778163
44 2.4366471735
80 2.7839643653
124 2.8344671202
254 3.7091988131
5000 3.7091988131
evaluations raw_y
1 1.0407993339
2 1.3691128149
6 1.6087516088
30 1.8573551263
31 2.3277467412
51 2.3629489603
63 2.5987525988
79 2.7352297593
144 2.7839643653
145 2.8344671202
431 3.0562347188
598 3.2467532468
652 3.3875338753
799 3.4626038781
831 3.5410764873
2594 3.6231884058
2687 4.0983606557
5000 2.1367521368
evaluations raw_y
1 1.5006002401
3 1.7934002869
51 1.8142235123
64 1.8355359765
65 2.0798668885
130 2.1367521368
131 2.2281639929
165 2.8344671202
217 3.7993920973
1589 4.2087542088
5000 3.5410764873
evaluations raw_y
1 0.9697439876
2 1.3812154696
5 1.6087516088
9 2.2935779817
29 2.5987525988
71 2.6427061311
117 2.6881720430
156 2.9976019185
409 3.1806615776
426 3.4626038781
479 3.5410764873
2800 3.6231884058
5001 1.8573551263
evaluations raw_y
1 0.5893446488
2 1.4060742407
8 1.4450867052
23 1.5151515152
28 2.1079258010
38 2.1367521368
66 2.1968365554
111 2.2281639929
129 2.2935779817
161 2.4366471735
193 2.8868360277
243 3.0562347188
326 3.4626038781
3737 3.7993920973
3780 3.9936102236
3910 4.2087542088
4022 4.3252595156
5000 4.3252595156
evaluations raw_y
1 0.6222000996
2 0.7507507508
3 1.4318442153
21 1.4863258026
30 1.6087516088
37 1.9747235387
63 2.1968365554
93 2.4752475248
181 2.5987525988
483 2.8868360277
1560 3.1806615776
1689 3.4626038781
3007 3.5410764873
3123 3.7993920973
5000 2.7839643653
evaluations raw_y
1 0.5699954400
2 0.8871540099
5 1.0548523207
7 1.0692899914
10 1.2690355330
20 1.9500780031
35 2.0525451560
109 2.4366471735
150 2.4752475248
228 2.6881720430
348 2.9976019185
557 3.0562347188
624 3.1172069825
638 3.5410764873
670 3.8940809969
5000 2.2935779817
evaluations raw_y
1 1.0917030568
10 1.6254876463
30 1.6778523490
37 1.8355359765
65 1.9025875190
71 1.9260400616
74 1.9500780031
130 2.1367521368
160 2.1663778163
162 2.2281639929
206 2.6881720430
320 2.7352297593
345 3.0562347188
5001 2.5987525988
evaluations raw_y
1 0.9130752374
2 1.1825922422
6 1.3340448239
27 1.5605493134
30 1.5762925599
43 1.6254876463
44 1.7531556802
78 1.9500780031
93 2.0525451560
105 2.5150905433
190 2.5987525988
293 2.8868360277
359 3.2467532468
5001 1.5006002401
evaluations raw_y
1 1.0072522160
2 1.4723203769
5 1.5151515152
33 1.6425755585
44 2.2281639929
296 2.2935779817
328 2.5150905433
345 2.6881720430
376 2.8868360277
1087 3.1806615776
1104 3.2467532468
1943 3.4626038781
2225 3.8940809969
2667 4.2087542088
2924 4.5787545788
5001 2.9976019185
evaluations raw_y
1 0.8973438622
2 1.0137875101
3 1.3935340022
4 1.4450867052
9 1.5605493134
18 1.5762925599
20 1.7146776406
33 2.0259319287
60 2.2281639929
74 2.6427061311
157 2.6881720430
195 2.8868360277
207 2.9411764706
490 3.1806615776
508 3.2467532468
2703 3.7993920973
3072 3.8940809969
3150 4.3252595156
5000 4.3252595156
evaluations raw_y
1 0.7926442613
2 1.0407993339
3 1.0917030568
9 1.2588116818
11 1.2794268168
19 1.5299877601
29 1.5605493134
30 1.6087516088
31 1.7337031900
59 1.9260400616
73 2.0798668885
90 2.1079258010
94 2.2603978300
106 2.4366471735
107 2.7839643653
192 2.9411764706
301 3.1806615776
5000 1.7730496454
evaluations raw_y
1 1.2100677638
2 1.6778523490
28 1.7531556802
49 1.9747235387
60 2.1663778163
115 2.1968365554
127 3.1172069825
163 3.4626038781
1256 3.8940809969
1710 4.2087542088
5000 4.2087542088
evaluations raw_y
1 1.0204081633
3 1.4450867052
22 1.5299877601
50 1.8142235123
62 1.9025875190
64 2.5150905433
79 3.1806615776
609 3.2467532468
2762 3.3156498674
5000 2.1663778163
evaluations raw_y
