evaluations raw_y
1 30.0000000000
3 34.0000000000
26 36.0000000000
42 38.0000000000
63 40.0000000000
96 42.0000000000
995 44.0000000000
1214 46.0000000000
3715 48.0000000000
5001 44.0000000000
evaluations raw_y
1 28.0000000000
6 32.0000000000
27 34.0000000000
49 36.0000000000
58 38.0000000000
80 40.0000000000
93 42.0000000000
938 44.0000000000
1060 46.0000000000
5000 46.0000000000
evaluations raw_y
1 30.0000000000
20 32.0000000000
39 34.0000000000
58 36.0000000000
82 38.0000000000
113 40.0000000000
197 42.0000000000
894 44.0000000000
1013 46.0000000000
5000 46.0000000000
evaluations raw_y
1 20.0000000000
3 24.0000000000
10 30.0000000000
24 32.0000000000
53 34.0000000000
66 36.0000000000
120 38.0000000000
179 40.0000000000
473 42.0000000000
532 44.0000000000
1046 46.0000000000
4786 48.0000000000
5000 46.0000000000
evaluations raw_y
1 24.0000000000
5 28.0000000000
18 30.0000000000
23 32.0000000000
43 34.0000000000
47 36.0000000000
59 38.0000000000
169 40.0000000000
241 42.0000000000
337 44.0000000000
371 46.0000000000
701 48.0000000000
5000 48.0000000000
evaluations raw_y
1 26.0000000000
6 30.0000000000
31 32.0000000000
49 34.0000000000
61 36.0000000000
93 38.0000000000
187 40.0000000000
259 42.0000000000
372 44.0000000000
437 46.0000000000
1607 48.0000000000
5001 46.0000000000
evaluations raw_y
1 30.0000000000
2 32.0000000000
5 36.0000000000
25 38.0000000000
116 40.0000000000
325 42.0000000000
383 44.0000000000
879 46.0000000000
5001 44.0000000000
evaluations raw_y
1 28.0000000000
15 30.0000000000
23 32.0000000000
50 34.0000000000
96 36.0000000000
111 38.0000000000
231 40.0000000000
264 42.0000000000
601 44.0000000000
2111 46.0000000000
5000 44.0000000000
evaluations raw_y
1 24.0000000000
4 30.0000000000
34 32.0000000000
40 36.0000000000
63 38.0000000000
96 40.0000000000
280 42.0000000000
1508 44.0000000000
1559 46.0000000000
5000 46.0000000000
evaluations raw_y
1 28.0000000000
5 32.0000000000
34 34.0000000000
39 36.0000000000
81 38.0000000000
100 40.0000000000
147 42.0000000000
327 44.0000000000
1931 46.0000000000
3735 48.0000000000
5000 46.0000000000
evaluations raw_y
1 26.0000000000
9 32.0000000000
22 34.0000000000
47 36.0000000000
60 38.0000000000
180 40.0000000000
