evaluations raw_y
1 1.5762925599
4 1.6778523490
6 1.7730496454
7 1.9747235387
8 2.2935779817
9 2.5987525988
52 2.8868360277
5000 2.2603978300
evaluations raw_y
1 1.0548523207
2 1.1150758252
4 1.3455328310
8 1.4863258026
10 1.6425755585
14 1.6960651289
15 1.7531556802
19 2.2281639929
22 2.6881720430
24 2.8344671202
64 3.7091988131
138 3.9936102236
667 4.4483985765
5000 3.1806615776
evaluations raw_y
1 1.1825922422
2 1.2794268168
3 1.4060742407
6 1.9025875190
13 1.9500780031
15 2.1663778163
22 2.6427061311
47 2.6881720430
75 2.7839643653
76 2.8344671202
118 2.9411764706
210 3.2467532468
222 3.5410764873
248 3.6231884058
249 3.7091988131
268 3.8940809969
320 3.9936102236
5000 2.9976019185
evaluations raw_y
1 1.4450867052
8 1.4585764294
9 1.5605493134
19 1.6087516088
20 2.1663778163
29 2.2281639929
32 2.2935779817
33 2.4366471735
34 2.5150905433
36 2.7839643653
59 2.9411764706
5000 2.1968365554
evaluations raw_y
1 1.1825922422
6 1.2100677638
9 1.4318442153
21 1.4723203769
23 1.5299877601
25 1.9260400616
28 2.0259319287
29 2.3992322457
35 2.4366471735
37 2.5150905433
90 2.5987525988
172 2.7839643653
221 2.8344671202
234 3.1172069825
251 3.1806615776
297 3.3156498674
5000 2.5150905433
evaluations raw_y
1 0.7846829881
3 0.8132726090
4 0.8532423208
6 0.8871540099
7 1.0137875101
8 1.0841283608
9 1.1825922422
12 1.2007684918
14 1.2690355330
15 1.3691128149
19 1.6425755585
20 1.6600265604
23 1.8573551263
25 2.0798668885
26 2.1663778163
32 2.6427061311
72 2.7839643653
117 3.0562347188
293 3.2467532468
5000 2.5562372188
evaluations raw_y
1 0.9462528388
2 1.2007684918
3 1.4318442153
6 1.5762925599
14 1.7730496454
18 1.8142235123
19 1.8355359765
25 1.9260400616
43 2.1079258010
56 2.5987525988
59 2.7839643653
110 2.9411764706
139 3.6231884058
142 3.7993920973
5000 2.6881720430
evaluations raw_y
1 0.7436049970
2 0.7768800497
3 1.1394712853
5 1.1478420569
10 1.3691128149
12 1.4585764294
13 1.6778523490
14 1.8142235123
24 1.9500780031
28 2.0259319287
36 2.1367521368
39 2.2281639929
45 2.5562372188
51 2.6881720430
70 2.7352297593
77 2.8868360277
5000 1.9500780031
evaluations raw_y
1 0.7886435331
2 0.9025270758
3 1.0072522160
4 1.2487512488
6 1.3116474292
12 1.4060742407
14 1.7146776406
21 2.4752475248
29 2.5987525988
54 2.7352297593
56 2.7839643653
82 2.8344671202
93 3.1806615776
115 3.3156498674
124 3.9936102236
5000 2.7352297593
evaluations raw_y
1 1.1916110582
4 1.2100677638
5 1.2690355330
8 1.4318442153
9 1.4450867052
13 1.6087516088
14 1.7730496454
20 2.3992322457
41 2.8868360277
51 3.3156498674
68 3.3875338753
106 3.8940809969
198 4.2087542088
5000 2.5987525988
evaluations raw_y
1 1.0993843448
3 1.1230907457
4 1.1312217195
11 1.5006002401
12 1.7934002869
13 1.9025875190
17 2.0798668885
21 2.2603978300
27 2.2935779817
35 2.3992322457
36 2.5562372188
54 2.6427061311
72 2.8344671202
76 2.8868360277
79 2.9976019185
121 3.7993920973
5000 2.6427061311
evaluations raw_y
1 0.9405568096
2 0.9637625289
5 1.0008006405
6 1.1825922422
9 1.2195121951
17 1.2588116818
20 1.5151515152
21 1.6425755585
28 1.6778523490
31 1.7730496454
36 2.3629489603
51 2.9976019185
275 3.3875338753
279 3.5410764873
5000 3.3875338753
evaluations raw_y
1 0.9881422925
2 1.1737089202
4 1.3935340022
5 1.5762925599
6 2.0525451560
41 2.2935779817
54 2.3992322457
66 2.5150905433
70 2.6427061311
71 3.1806615776
5000 1.9747235387
evaluations raw_y
1 1.8355359765
4 1.9260400616
5 1.9500780031
