evaluations raw_y
1 28.0000000000
6 30.0000000000
8 32.0000000000
11 34.0000000000
41 36.0000000000
52 38.0000000000
53 40.0000000000
67 42.0000000000
77 44.0000000000
209 46.0000000000
484 48.0000000000
3213 50.0000000000
evaluations raw_y
1 28.0000000000
2 30.0000000000
5 32.0000000000
11 34.0000000000
18 36.0000000000
40 38.0000000000
59 40.0000000000
68 42.0000000000
98 44.0000000000
137 46.0000000000
179 48.0000000000
5000 46.0000000000
evaluations raw_y
1 26.0000000000
3 28.0000000000
10 30.0000000000
15 32.0000000000
16 34.0000000000
52 36.0000000000
59 38.0000000000
187 40.0000000000
190 42.0000000000
239 44.0000000000
283 46.0000000000
873 48.0000000000
4670 50.0000000000
evaluations raw_y
1 22.0000000000
5 24.0000000000
8 26.0000000000
14 28.0000000000
19 30.0000000000
22 32.0000000000
23 34.0000000000
24 36.0000000000
32 38.0000000000
43 40.0000000000
83 42.0000000000
185 44.0000000000
316 46.0000000000
589 48.0000000000
5000 46.0000000000
evaluations raw_y
1 18.0000000000
4 20.0000000000
5 22.0000000000
8 24.0000000000
9 26.0000000000
12 28.0000000000
16 30.0000000000
20 32.0000000000
24 34.0000000000
39 36.0000000000
56 38.0000000000
64 40.0000000000
118 42.0000000000
216 44.0000000000
680 46.0000000000
732 48.0000000000
1708 50.0000000000
evaluations raw_y
1 22.0000000000
5 24.0000000000
7 26.0000000000
13 28.0000000000
17 30.0000000000
18 32.0000000000
32 34.0000000000
61 36.0000000000
72 38.0000000000
86 40.0000000000
129 42.0000000000
183 44.0000000000
222 46.0000000000
672 48.0000000000
2555 50.0000000000
evaluations raw_y
1 26.0000000000
6 28.0000000000
9 30.0000000000
18 32.0000000000
29 34.0000000000
46 36.0000000000
91 38.0000000000
101 40.0000000000
115 42.0000000000
233 44.0000000000
564 46.0000000000
1753 48.0000000000
5000 46.0000000000
evaluations raw_y
1 26.0000000000
16 28.0000000000
20 30.0000000000
41 32.0000000000
45 34.0000000000
47 36.0000000000
52 38.0000000000
62 40.0000000000
79 42.0000000000
143 44.0000000000
167 46.0000000000
522 48.0000000000
5000 46.0000000000
evaluations raw_y
1 24.0000000000
4 26.0000000000
6 28.0000000000
13 30.0000000000
19 32.0000000000
35 34.0000000000
58 36.0000000000
62 38.0000000000
78 40.0000000000
160 42.0000000000
332 44.0000000000
406 46.0000000000
717 48.0000000000
5000 46.0000000000
evaluations raw_y
1 22.0000000000
5 24.0000000000
7 26.0000000000
8 28.0000000000
11 30.0000000000
18 32.0000000000
22 34.0000000000
28 36.0000000000
53 38.0000000000
105 40.0000000000
154 42.0000000000
177 44.0000000000
216 46.0000000000
403 48.0000000000
5000 46.0000000000
evaluations raw_y
1 26.0000000000
4 28.0000000000
7 30.0000000000
13 32.0000000000
17 34.0000000000
18 36.0000000000
25 38.0000000000
54 40.0000000000
148 42.0000000000
248 44.0000000000
270 46.0000000000
381 48.0000000000
