evaluations raw_y
1 1.5762925599
13 1.7146776406
17 2.1367521368
390 2.3992322457
1560 2.4752475248
4802 2.5150905433
5000 1.0548523207
evaluations raw_y
1 0.9637625289
5 1.6254876463
20 1.7146776406
54 2.2935779817
232 2.3277467412
244 2.3629489603
686 2.3992322457
1698 2.5562372188
5000 1.5605493134
evaluations raw_y
1 0.5348737698
2 1.3691128149
5 1.3812154696
12 1.5006002401
34 1.7337031900
66 1.7730496454
80 1.9260400616
116 2.0259319287
349 2.1663778163
784 2.2603978300
803 2.3629489603
1283 2.4366471735
1552 2.5562372188
2138 2.5987525988
4151 2.7839643653
5000 0.9881422925
evaluations raw_y
1 1.3340448239
16 1.4723203769
22 1.7337031900
31 1.7531556802
70 2.2603978300
537 2.4752475248
3071 2.8868360277
5000 1.2487512488
evaluations raw_y
1 1.7730496454
4 1.9500780031
150 2.0798668885
393 2.3277467412
1981 2.5562372188
2616 2.7352297593
2969 3.3156498674
5000 0.9349289454
evaluations raw_y
1 0.9238728751
3 1.6254876463
10 2.3992322457
39 2.7839643653
5000 1.7531556802
evaluations raw_y
1 0.8973438622
2 1.0620220901
3 1.4585764294
17 1.4723203769
62 1.4863258026
72 1.5605493134
93 2.1663778163
522 2.5562372188
5000 1.3812154696
evaluations raw_y
1 0.6971556051
2 1.0620220901
3 1.3572204126
4 1.4863258026
13 1.5451174289
19 1.5762925599
21 1.6778523490
55 1.7146776406
59 1.7531556802
62 2.0259319287
225 2.1367521368
344 2.2281639929
631 2.4752475248
1065 2.8344671202
5000 1.1916110582
evaluations raw_y
1 1.2487512488
2 1.6600265604
21 1.7146776406
48 2.0000000000
90 2.1968365554
134 2.3992322457
1575 2.4366471735
5000 1.9500780031
evaluations raw_y
1 0.8922198430
2 1.0993843448
3 1.3935340022
21 1.5006002401
57 1.7146776406
107 1.8355359765
191 1.9747235387
243 2.0798668885
304 2.1079258010
676 2.6427061311
5000 1.2899896801
evaluations raw_y
1 1.2899896801
7 1.5006002401
10 1.7531556802
37 2.2935779817
685 2.9976019185
5000 1.6960651289
evaluations raw_y
1 0.8305647841
2 1.3007284079
6 1.7934002869
74 2.2935779817
242 2.4752475248
2932 2.5562372188
3646 2.7839643653
5000 1.1649580615
evaluations raw_y
1 1.4450867052
3 1.6087516088
10 1.8142235123
16 1.8355359765
66 2.2603978300
101 2.3277467412
1383 2.3629489603
1392 2.6881720430
2586 2.9411764706
5000 1.0841283608
evaluations raw_y
1 1.1737089202
5 1.6600265604
53 1.6960651289
68 1.8355359765
174 2.1663778163
293 2.2603978300
702 2.3277467412
1932 2.8868360277
5000 1.4318442153
evaluations raw_y
1 1.4863258026
2 1.6600265604
15 2.1663778163
317 2.2603978300
531 2.3629489603
1503 3.1172069825
5000 1.4060742407
evaluations raw_y
1 0.9697439876
2 2.0525451560
272 2.1079258010
605 2.3629489603
2111 2.3992322457
2199 2.4752475248
5000 0.9184423218
evaluations raw_y
1 1.2291052114
5 1.3812154696
6 1.4863258026
9 2.1663778163
788 2.6427061311
5000 1.2690355330
evaluations raw_y
1 1.1071744907
2 1.6600265604
12 1.8142235123
59 2.0525451560
232 2.1079258010
303 2.4366471735
2106 2.4752475248
3569 2.9411764706
5000 1.1737089202
evaluations raw_y
1 1.3691128149
2 1.5006002401
12 1.5451174289
15 1.5762925599
18 2.1968365554
287 2.5150905433
2088 2.5562372188
5000 1.2487512488
evaluations raw_y
1 1.1071744907
3 1.1649580615
4 1.3935340022
6 1.5762925599
19 1.8573551263
81 2.1663778163
252 2.2603978300
1015 2.3629489603
2352 2.4366471735
4980 2.5987525988
5000 1.4723203769
evaluations raw_y
1 1.0407993339
8 1.6254876463
24 1.6778523490
28 1.7146776406
43 2.0000000000
114 2.0259319287
574 2.1367521368
762 2.1663778163
1089 2.2281639929
1537 2.2603978300
2611 2.3992322457
2634 2.4366471735
4450 2.4752475248
5000 1.3007284079
evaluations raw_y
1 0.9130752374
2 1.1825922422
7 1.3340448239
11 1.5451174289
19 1.6425755585
22 1.8573551263
27 2.0259319287
277 2.1663778163
984 2.1968365554
1385 2.2281639929
1451 2.6427061311
2124 2.7839643653
5000 0.9293680297
evaluations raw_y
1 1.3007284079
10 1.6425755585
36 1.6600265604
44 1.8142235123
79 2.1968365554
281 2.4366471735
1363 2.5562372188
4227 2.8868360277
5000 0.8007687380
evaluations raw_y
1 1.5006002401
12 1.5605493134
21 1.6087516088
22 1.6778523490
42 2.2935779817
618 2.3277467412
979 2.5987525988
4771 2.6427061311
5000 1.1563367253
evaluations raw_y
1 0.8973438622
2 1.0917030568
3 1.1478420569
4 1.3455328310
5 1.4585764294
11 2.1968365554
677 2.2603978300
753 2.4366471735
1529 2.6881720430
5000 1.2007684918
evaluations raw_y
1 1.2588116818
7 1.3812154696
9 1.5923566879
14 2.8344671202
447 2.8868360277
5000 1.0407993339
evaluations raw_y
1 0.9944311854
4 1.2899896801
5 1.6778523490
15 1.9500780031
146 2.0798668885
230 2.2935779817
265 2.4366471735
383 2.4752475248
1875 2.5987525988
5000 1.4723203769
evaluations raw_y
1 0.9349289454
2 1.6087516088
58 1.9500780031
108 2.1079258010
131 2.1968365554
261 2.3992322457
2756 2.5987525988
4518 2.8344671202
5000 0.7617306520
evaluations raw_y
1 1.3340448239
7 1.8573551263
97 2.8344671202
947 2.9976019185
5000 1.0692899914
evaluations raw_y
1 1.0204081633
3 1.6087516088
7 2.1367521368
56 2.1663778163
1140 2.1968365554
1165 2.4752475248
3190 2.5562372188
4256 2.6881720430
5000 0.6940588562
