evaluations raw_y
1 1.5762925599
13 2.0000000000
14 2.0525451560
15 2.5562372188
1955 2.5987525988
3058 3.3875338753
5000 1.4585764294
evaluations raw_y
1 1.5299877601
3 1.7146776406
6 1.7730496454
7 1.9747235387
8 2.1079258010
28 2.4366471735
1591 2.4752475248
2569 2.6427061311
3975 2.7352297593
4992 2.8344671202
5000 1.6425755585
evaluations raw_y
1 1.4188422247
2 1.5762925599
3 1.6778523490
48 1.7337031900
49 1.7531556802
50 1.9747235387
330 2.0798668885
331 2.3629489603
671 2.3992322457
672 2.6881720430
4299 2.7352297593
4300 2.9976019185
4768 3.1172069825
5000 1.5923566879
evaluations raw_y
1 1.2100677638
2 1.2291052114
4 1.2794268168
5 1.5762925599
126 1.6600265604
127 1.8573551263
191 1.9747235387
850 2.1367521368
949 2.1968365554
982 2.3992322457
1607 2.5562372188
4174 2.6427061311
4521 2.9976019185
5000 1.9025875190
evaluations raw_y
1 1.2588116818
7 1.3340448239
21 1.5451174289
23 1.5762925599
41 2.0000000000
55 2.0798668885
527 2.1663778163
552 2.2603978300
1144 2.2935779817
2375 2.5987525988
2662 2.8868360277
5000 1.2291052114
evaluations raw_y
1 1.5762925599
11 1.6778523490
12 1.7146776406
13 1.8573551263
45 1.9747235387
450 2.0525451560
535 2.1367521368
864 2.3277467412
1679 2.5987525988
2895 3.0562347188
5000 1.4723203769
evaluations raw_y
1 0.5241090147
2 0.5658669081
3 0.6076810890
4 1.4060742407
5 1.6425755585
35 1.6600265604
36 1.8796992481
38 1.9747235387
331 2.0525451560
332 2.1367521368
685 2.1663778163
1822 2.1968365554
1823 2.2281639929
2144 2.3277467412
2391 2.4752475248
2476 2.5150905433
2479 2.6427061311
2837 2.6881720430
4231 3.1172069825
4246 3.9936102236
5000 1.3116474292
evaluations raw_y
1 1.7337031900
3 1.9260400616
51 2.1079258010
336 2.2935779817
699 2.4366471735
973 2.6427061311
4582 2.8344671202
4773 3.0562347188
4811 3.1172069825
5000 1.6254876463
evaluations raw_y
1 0.9349289454
3 1.0548523207
7 1.4723203769
8 1.5151515152
9 1.5762925599
15 1.6778523490
24 1.8796992481
82 2.0525451560
83 2.2603978300
1010 2.4366471735
2074 2.6881720430
3758 2.7839643653
4479 2.8868360277
5000 1.6254876463
evaluations raw_y
1 1.1916110582
2 1.6600265604
35 1.9025875190
36 2.0798668885
480 2.2603978300
773 2.2935779817
782 2.3992322457
783 2.4752475248
1429 2.9976019185
4944 3.1172069825
4948 3.1806615776
5000 1.3340448239
evaluations raw_y
1 0.8090614887
2 0.8175277959
3 0.9758001561
9 0.9819324430
11 1.2588116818
12 2.3277467412
844 2.5562372188
4440 2.6881720430
4442 2.7839643653
4450 2.9411764706
4455 3.0562347188
4586 3.1806615776
5000 1.6600265604
evaluations raw_y
1 0.8048937540
3 0.8871540099
4 1.0766580534
5 1.2291052114
22 1.7337031900
36 1.7531556802
114 2.1079258010
116 2.3277467412
2142 2.3629489603
2255 2.5150905433
2257 2.8344671202
4211 3.0562347188
4231 3.1172069825
5000 1.9500780031
evaluations raw_y
1 1.4318442153
6 1.4863258026
9 1.5299877601
32 1.5762925599
109 1.7337031900
110 1.8355359765
129 2.0798668885
733 2.2603978300
1667 2.5150905433
1669 2.6427061311
1771 2.6881720430
3130 3.1172069825
3346 3.3156498674
5000 1.8142235123
evaluations raw_y
1 1.0766580534
2 1.3691128149
3 2.0259319287
78 2.2603978300
563 2.5150905433
3143 2.9976019185
3201 3.0562347188
3203 3.3156498674
5000 2.7352297593
evaluations raw_y
1 1.2291052114
11 1.3227513228
25 1.3572204126
55 1.4188422247
56 1.4585764294
79 1.4723203769
80 1.5006002401
82 1.6087516088
83 1.7934002869
134 1.9260400616
135 2.0259319287
359 2.1663778163
1286 2.3629489603
1351 2.5562372188
4300 2.8344671202
5000 1.0407993339
evaluations raw_y
1 1.1312217195
6 1.2291052114
27 1.7146776406
46 1.7531556802
49 2.0259319287
51 2.2935779817
106 2.4366471735
1609 2.8344671202
4133 3.1172069825
4138 3.3156498674
5000 2.1367521368
evaluations raw_y
1 1.7730496454
7 1.9260400616
200 2.0000000000
473 2.0798668885
806 2.2281639929
1324 2.3992322457
2086 2.7839643653
2335 3.3875338753
5000 1.6778523490
evaluations raw_y
1 0.9349289454
2 1.0407993339
6 1.4060742407
7 1.6778523490
8 1.9260400616
9 2.1079258010
10 2.4752475248
611 2.5562372188
1695 3.1806615776
5000 1.4863258026
evaluations raw_y
1 1.0620220901
3 1.1478420569
4 1.1649580615
5 1.5451174289
16 1.5605493134
97 1.9747235387
125 2.2935779817
2061 2.8868360277
3972 3.0562347188
4524 3.1172069825
5000 1.6087516088
evaluations raw_y
1 0.9819324430
2 1.1150758252
4 1.2588116818
5 1.3691128149
42 1.5006002401
43 1.6778523490
61 1.8142235123
108 2.0798668885
911 2.3277467412
1660 2.3629489603
1677 3.0562347188
5000 1.5006002401
evaluations raw_y
1 0.8218277449
2 1.0620220901
3 1.0993843448
4 1.1478420569
5 1.1825922422
6 1.1916110582
28 1.2794268168
29 1.4060742407
40 1.5151515152
41 1.6600265604
42 1.8573551263
79 1.9260400616
82 1.9500780031
101 2.0525451560
327 2.1968365554
1040 2.3992322457
1041 2.6427061311
1859 2.8344671202
4932 2.8868360277
5000 1.6087516088
evaluations raw_y
1 1.1649580615
3 1.2690355330
5 1.8355359765
64 1.8573551263
103 2.2281639929
104 2.5150905433
1154 2.5562372188
4131 2.7352297593
4171 2.7839643653
5000 1.8573551263
evaluations raw_y
1 1.2899896801
10 1.3812154696
11 1.4318442153
14 1.6087516088
15 1.6600265604
49 1.9500780031
159 2.0259319287
511 2.1079258010
951 2.1367521368
1833 2.5562372188
3580 2.7352297593
4803 2.9976019185
5000 2.2935779817
evaluations raw_y
1 1.1825922422
7 1.1916110582
8 1.3340448239
9 1.4585764294
11 1.5762925599
65 1.6087516088
77 2.3277467412
1385 2.5150905433
1551 2.6881720430
4201 2.7839643653
4208 2.9411764706
4653 2.9976019185
5000 1.5006002401
evaluations raw_y
1 1.2388503469
3 1.3691128149
4 1.7146776406
50 1.7730496454
53 1.9747235387
117 2.3992322457
118 2.4366471735
1629 2.5150905433
2455 3.1172069825
5000 1.3691128149
evaluations raw_y
1 0.7263219059
2 1.0477787091
3 1.0548523207
4 1.0766580534
9 1.1825922422
10 1.3340448239
11 1.4450867052
30 1.4863258026
33 1.8355359765
45 1.9025875190
154 2.1663778163
155 2.3629489603
1057 2.5987525988
4439 2.9976019185
4445 3.3875338753
5000 2.2603978300
evaluations raw_y
1 1.2588116818
14 1.3007284079
24 1.3812154696
30 1.4723203769
39 1.5151515152
40 1.5923566879
172 1.8796992481
173 2.0000000000
206 2.0259319287
216 2.0525451560
221 2.1079258010
354 2.1968365554
958 2.2603978300
1355 2.3629489603
1771 2.3992322457
2407 2.9411764706
4505 3.2467532468
5000 1.6600265604
evaluations raw_y
1 0.8090614887
2 0.9881422925
3 1.1071744907
4 1.1737089202
6 1.1825922422
10 1.3007284079
11 1.6254876463
17 1.7146776406
146 1.8573551263
147 1.9500780031
286 2.0259319287
337 2.1968365554
340 2.2935779817
354 2.3992322457
4153 2.4752475248
4224 2.6881720430
5000 1.6425755585
evaluations raw_y
1 0.9819324430
2 1.0137875101
3 1.0477787091
13 1.0692899914
18 1.2100677638
21 1.4318442153
26 1.4450867052
46 1.6960651289
55 1.8796992481
214 1.9025875190
442 2.1367521368
906 2.2603978300
1037 2.2935779817
1213 2.4366471735
1230 2.4752475248
1542 2.5987525988
2194 2.8868360277
4823 3.0562347188
5000 1.3572204126
evaluations raw_y
1 1.5762925599
5 1.8355359765
35 2.2935779817
36 2.6427061311
4158 2.6881720430
4281 2.8344671202
5000 1.2794268168
