evaluations raw_y
1 24.0000000000
3 26.0000000000
12 28.0000000000
16 30.0000000000
21 32.0000000000
130 34.0000000000
353 36.0000000000
459 38.0000000000
2179 40.0000000000
2196 42.0000000000
2917 44.0000000000
3169 46.0000000000
5000 42.0000000000
evaluations raw_y
1 26.0000000000
7 28.0000000000
17 30.0000000000
116 32.0000000000
127 34.0000000000
176 36.0000000000
854 38.0000000000
2194 40.0000000000
3788 42.0000000000
3789 44.0000000000
3973 46.0000000000
5000 44.0000000000
evaluations raw_y
1 24.0000000000
6 26.0000000000
12 28.0000000000
13 30.0000000000
23 32.0000000000
24 34.0000000000
27 36.0000000000
171 38.0000000000
948 40.0000000000
2323 42.0000000000
2626 44.0000000000
3073 46.0000000000
3874 48.0000000000
5000 46.0000000000
evaluations raw_y
1 16.0000000000
4 18.0000000000
5 20.0000000000
8 22.0000000000
9 26.0000000000
10 28.0000000000
95 30.0000000000
112 32.0000000000
113 36.0000000000
1466 38.0000000000
1478 40.0000000000
3299 42.0000000000
3508 44.0000000000
3719 46.0000000000
3842 48.0000000000
5000 46.0000000000
evaluations raw_y
1 26.0000000000
5 28.0000000000
19 30.0000000000
132 32.0000000000
133 34.0000000000
136 36.0000000000
137 38.0000000000
1517 40.0000000000
2742 42.0000000000
3427 44.0000000000
3507 46.0000000000
3597 48.0000000000
5000 44.0000000000
evaluations raw_y
1 26.0000000000
2 28.0000000000
6 30.0000000000
20 32.0000000000
114 34.0000000000
194 36.0000000000
1462 38.0000000000
1815 40.0000000000
2844 42.0000000000
3486 44.0000000000
3489 46.0000000000
4237 48.0000000000
5000 46.0000000000
evaluations raw_y
1 22.0000000000
2 24.0000000000
5 26.0000000000
6 30.0000000000
7 32.0000000000
25 34.0000000000
109 36.0000000000
178 38.0000000000
1602 40.0000000000
2364 42.0000000000
2575 44.0000000000
3125 46.0000000000
3155 48.0000000000
5000 40.0000000000
evaluations raw_y
1 24.0000000000
2 26.0000000000
3 28.0000000000
6 30.0000000000
43 32.0000000000
46 34.0000000000
205 36.0000000000
473 40.0000000000
3203 42.0000000000
3243 44.0000000000
3557 46.0000000000
3832 48.0000000000
5000 46.0000000000
evaluations raw_y
1 22.0000000000
2 26.0000000000
8 28.0000000000
9 30.0000000000
14 32.0000000000
15 34.0000000000
310 36.0000000000
312 38.0000000000
1529 40.0000000000
3033 42.0000000000
3276 44.0000000000
3797 46.0000000000
5000 42.0000000000
evaluations raw_y
1 26.0000000000
9 28.0000000000
11 30.0000000000
44 32.0000000000
48 34.0000000000
49 36.0000000000
