evaluations raw_y
1 1.5762925599
13 2.0000000000
14 2.0525451560
15 2.5562372188
1931 2.6881720430
4994 0.5983724270
evaluations raw_y
1 1.0271158587
4 1.2195121951
13 2.0798668885
14 2.2603978300
762 2.2935779817
1021 2.3992322457
1024 2.5987525988
1727 2.6427061311
2713 2.8868360277
4994 1.2100677638
evaluations raw_y
1 1.0407993339
2 1.4318442153
4 1.4723203769
6 1.7146776406
128 1.8573551263
202 2.0000000000
788 2.0798668885
792 2.2935779817
797 2.3629489603
851 2.4366471735
852 3.2467532468
4994 0.9944311854
evaluations raw_y
1 1.0620220901
2 1.0692899914
3 1.1825922422
4 1.6254876463
24 1.6778523490
25 1.9747235387
40 2.0259319287
41 2.0798668885
244 2.2603978300
387 2.3277467412
679 2.3992322457
684 2.5562372188
2159 2.7352297593
2161 3.1172069825
4994 1.2388503469
evaluations raw_y
1 0.8579272478
3 0.9758001561
4 1.1563367253
5 1.2007684918
6 2.0259319287
121 2.1663778163
122 2.2281639929
778 2.3992322457
832 2.6427061311
3772 3.1806615776
4994 0.9462528388
evaluations raw_y
1 1.0917030568
2 1.2007684918
8 1.5151515152
42 1.5762925599
43 1.9747235387
44 2.0259319287
88 2.0798668885
468 2.1663778163
702 2.1968365554
825 2.3992322457
1544 2.8344671202
2697 2.9411764706
2709 3.1172069825
2723 3.1806615776
2730 3.2467532468
2896 3.3156498674
4994 0.7507507508
evaluations raw_y
1 1.4585764294
2 1.7146776406
3 1.7337031900
4 2.0525451560
58 2.2603978300
87 2.3629489603
242 2.5562372188
970 2.6881720430
1769 3.3875338753
4994 0.9405568096
evaluations raw_y
1 0.9758001561
4 1.0137875101
8 1.1825922422
20 1.2690355330
21 1.6254876463
22 1.8796992481
31 2.1367521368
69 2.2603978300
389 2.3992322457
991 2.5987525988
1005 2.8344671202
2914 2.9411764706
4994 0.7471607890
evaluations raw_y
1 1.2690355330
2 1.3007284079
6 1.4060742407
36 1.5006002401
52 1.5762925599
68 1.6254876463
81 1.7146776406
124 1.7531556802
127 1.7934002869
189 2.3629489603
271 2.4366471735
923 2.4752475248
925 2.5987525988
1691 3.0562347188
4994 1.1737089202
evaluations raw_y
1 1.1312217195
2 1.1916110582
4 1.4060742407
5 1.5451174289
6 1.6778523490
65 1.6960651289
156 1.7531556802
167 1.8142235123
229 1.9260400616
268 1.9500780031
610 1.9747235387
652 2.0259319287
735 2.1663778163
866 2.6881720430
2942 2.8344671202
4994 1.6960651289
evaluations raw_y
1 0.7692307692
2 0.9462528388
3 0.9520182788
4 1.0477787091
17 1.1071744907
24 1.2899896801
53 1.5151515152
56 1.6778523490
81 1.8573551263
121 2.0525451560
144 2.4366471735
667 2.5562372188
871 2.6427061311
4994 1.3116474292
evaluations raw_y
1 0.7966857871
2 1.0407993339
3 1.0692899914
4 1.1649580615
5 1.2195121951
8 1.2388503469
38 1.6254876463
43 1.8142235123
44 1.9747235387
116 2.0259319287
117 2.1663778163
292 2.2603978300
768 2.2935779817
973 2.6427061311
974 2.7839643653
2585 3.2467532468
4994 0.6789788159
evaluations raw_y
1 0.6819421713
2 0.8007687380
4 0.9349289454
8 1.3227513228
10 1.4450867052
11 1.9260400616
12 2.2281639929
45 2.3992322457
608 2.4366471735
954 2.5150905433
2750 3.0562347188
4994 0.9462528388
evaluations raw_y
1 1.0692899914
14 1.0766580534
16 1.1916110582
17 1.4060742407
18 1.4450867052
19 1.4585764294
20 1.6254876463
24 2.1968365554
240 2.3629489603
906 2.4366471735
907 2.7352297593
936 2.8344671202
2740 3.2467532468
4994 1.0620220901
evaluations raw_y
1 1.2899896801
2 1.3007284079
5 1.3935340022
33 1.5151515152
58 1.6425755585
94 1.7531556802
120 1.9747235387
121 2.0000000000
409 2.2281639929
410 2.5987525988
621 2.7352297593
2716 2.7839643653
2719 2.9976019185
4994 1.0993843448
evaluations raw_y
1 0.8771929825
2 0.9944311854
3 1.2007684918
4 1.3572204126
11 1.5151515152
33 1.5451174289
74 1.5762925599
77 1.9500780031
88 2.2603978300
976 2.5562372188
2148 3.0562347188
4994 0.7297139521
evaluations raw_y
1 0.9758001561
3 0.9819324430
8 1.0548523207
9 1.1478420569
18 1.2487512488
28 1.4863258026
32 1.9747235387
148 2.0798668885
154 2.1663778163
499 2.2281639929
523 2.3629489603
625 2.4366471735
882 2.5562372188
2848 2.5987525988
2941 2.8344671202
2951 2.9976019185
2954 3.3156498674
4994 1.6778523490
evaluations raw_y
1 1.6600265604
72 1.6960651289
73 2.0259319287
394 2.2603978300
998 2.2935779817
1001 2.9976019185
4994 1.2794268168
evaluations raw_y
1 1.1150758252
3 1.1649580615
6 1.3691128149
7 1.5299877601
13 1.7531556802
89 1.7730496454
191 1.7934002869
192 1.8573551263
334 1.9260400616
344 1.9747235387
345 2.0259319287
738 2.0798668885
772 2.2281639929
918 2.3629489603
919 2.4366471735
923 2.4752475248
931 2.5987525988
1013 2.6881720430
1020 2.8344671202
4994 1.0917030568
evaluations raw_y
1 0.7654623393
2 0.8440243079
4 1.0766580534
5 1.2487512488
6 1.6425755585
24 1.6600265604
26 1.6960651289
27 1.8355359765
30 1.8796992481
157 2.0798668885
390 2.1968365554
720 2.2603978300
723 2.2935779817
1004 3.1806615776
4994 1.4450867052
evaluations raw_y
1 1.0993843448
2 1.1230907457
4 1.1916110582
5 1.2690355330
6 1.3116474292
7 1.5762925599
8 1.6600265604
12 1.7934002869
62 1.8573551263
97 2.2603978300
98 2.5562372188
918 2.6881720430
919 2.9976019185
924 3.4626038781
4994 1.4318442153
evaluations raw_y
1 1.1916110582
11 1.2899896801
15 1.4060742407
21 1.4188422247
24 1.5299877601
42 1.5451174289
62 1.6960651289
67 1.8573551263
316 2.0000000000
318 2.1968365554
319 3.1806615776
707 3.2467532468
4994 1.5451174289
evaluations raw_y
1 1.0917030568
3 1.9025875190
269 2.2281639929
432 2.3277467412
757 2.7839643653
4994 0.7846829881
evaluations raw_y
1 1.6425755585
21 1.7934002869
27 1.9500780031
56 2.2603978300
866 2.3277467412
873 2.3992322457
877 2.5150905433
2014 2.7352297593
2271 2.7839643653
2787 3.1172069825
4994 1.0339123242
evaluations raw_y
1 0.6172839506
2 0.7807620237
4 0.9077705156
5 1.4723203769
6 1.6425755585
7 2.1367521368
54 2.2935779817
371 2.3992322457
760 2.7839643653
4994 1.0917030568
evaluations raw_y
1 1.4188422247
2 1.9500780031
104 2.0259319287
432 2.1079258010
440 2.2935779817
1008 2.3992322457
2185 2.4366471735
2188 2.6881720430
4994 1.1825922422
evaluations raw_y
1 1.1071744907
2 1.2007684918
3 1.4585764294
8 1.5151515152
34 1.5605493134
35 1.7730496454
47 1.8142235123
173 2.1367521368
175 2.1663778163
599 2.2281639929
778 2.7352297593
2310 2.9411764706
4994 1.0692899914
evaluations raw_y
1 1.8355359765
3 2.0798668885
25 2.1968365554
454 2.2935779817
457 2.4366471735
1245 2.7352297593
4513 2.9411764706
4994 1.2291052114
evaluations raw_y
1 1.4585764294
2 1.6087516088
3 1.7934002869
4 2.0259319287
290 2.0525451560
305 2.1079258010
403 2.4366471735
848 2.4752475248
2190 2.5987525988
2192 2.8868360277
3018 2.9411764706
4994 0.9578544061
evaluations raw_y
1 0.9520182788
2 1.0407993339
10 1.1312217195
14 1.3812154696
16 1.5605493134
17 2.0000000000
70 2.0259319287
83 2.1663778163
84 2.5987525988
502 2.7839643653
508 3.3875338753
4994 1.5451174289
