evaluations raw_y
1 24.0000000000
10 26.0000000000
26 28.0000000000
29 30.0000000000
34 32.0000000000
96 34.0000000000
293 36.0000000000
573 38.0000000000
576 40.0000000000
666 42.0000000000
808 44.0000000000
2703 46.0000000000
2716 48.0000000000
4994 34.0000000000
evaluations raw_y
1 26.0000000000
6 28.0000000000
94 32.0000000000
235 34.0000000000
254 38.0000000000
662 40.0000000000
850 42.0000000000
885 44.0000000000
1007 46.0000000000
4994 36.0000000000
evaluations raw_y
1 24.0000000000
3 26.0000000000
6 28.0000000000
8 30.0000000000
16 32.0000000000
74 34.0000000000
447 36.0000000000
572 38.0000000000
586 40.0000000000
650 42.0000000000
838 44.0000000000
939 46.0000000000
951 48.0000000000
4994 28.0000000000
evaluations raw_y
1 20.0000000000
5 22.0000000000
7 24.0000000000
8 26.0000000000
14 28.0000000000
15 30.0000000000
25 32.0000000000
308 34.0000000000
309 36.0000000000
310 38.0000000000
625 40.0000000000
650 42.0000000000
768 44.0000000000
797 46.0000000000
809 48.0000000000
4994 34.0000000000
evaluations raw_y
1 22.0000000000
3 24.0000000000
4 26.0000000000
6 28.0000000000
10 30.0000000000
11 32.0000000000
15 34.0000000000
65 36.0000000000
223 38.0000000000
564 40.0000000000
567 42.0000000000
626 44.0000000000
627 46.0000000000
2936 48.0000000000
4994 38.0000000000
evaluations raw_y
1 22.0000000000
3 24.0000000000
28 26.0000000000
32 28.0000000000
33 30.0000000000
47 32.0000000000
48 34.0000000000
347 36.0000000000
383 38.0000000000
536 40.0000000000
575 42.0000000000
771 44.0000000000
953 46.0000000000
2739 48.0000000000
4994 30.0000000000
evaluations raw_y
1 20.0000000000
3 22.0000000000
6 24.0000000000
9 26.0000000000
11 28.0000000000
17 30.0000000000
29 32.0000000000
30 36.0000000000
201 38.0000000000
204 40.0000000000
683 42.0000000000
759 44.0000000000
782 46.0000000000
4994 36.0000000000
evaluations raw_y
1 26.0000000000
12 28.0000000000
15 30.0000000000
48 32.0000000000
73 34.0000000000
95 36.0000000000
160 38.0000000000
559 40.0000000000
579 42.0000000000
596 44.0000000000
4994 30.0000000000
evaluations raw_y
1 30.0000000000
3 32.0000000000
147 34.0000000000
220 36.0000000000
473 38.0000000000
519 42.0000000000
522 44.0000000000
984 46.0000000000
2918 48.0000000000
4994 32.0000000000
evaluations raw_y
1 24.0000000000
2 26.0000000000
17 28.0000000000
20 30.0000000000
21 34.0000000000
237 36.0000000000
258 38.0000000000
440 40.0000000000
539 42.0000000000
546 44.0000000000
2710 46.0000000000
4994 36.0000000000
evaluations raw_y
1 24.0000000000
2 26.0000000000
3 28.0000000000
57 30.0000000000
59 32.0000000000
102 36.0000000000
338 38.0000000000
709 40.0000000000
861 42.0000000000
914 44.0000000000
922 46.0000000000
1005 48.0000000000
4994 32.0000000000
evaluations raw_y
1 16.0000000000
2 18.0000000000
4 20.0000000000
5 24.0000000000
7 26.0000000000
18 28.0000000000
78 30.0000000000
85 32.0000000000
154 34.0000000000
156 36.0000000000
343 38.0000000000
640 40.0000000000
657 42.0000000000
880 44.0000000000
911 46.0000000000
975 48.0000000000
4994 32.0000000000
evaluations raw_y
1 26.0000000000
5 28.0000000000
15 30.0000000000
90 32.0000000000
185 34.0000000000
196 36.0000000000
287 38.0000000000
367 40.0000000000
565 42.0000000000
935 44.0000000000
2921 46.0000000000
3060 48.0000000000
4994 26.0000000000
evaluations raw_y
1 24.0000000000
5 26.0000000000
25 30.0000000000
28 32.0000000000
32 34.0000000000
37 36.0000000000
187 38.0000000000
543 40.0000000000
566 42.0000000000
584 44.0000000000
2787 46.0000000000
4994 32.0000000000
evaluations raw_y
1 24.0000000000
4 26.0000000000
5 28.0000000000
8 30.0000000000
9 32.0000000000
11 34.0000000000
127 36.0000000000
129 38.0000000000
158 40.0000000000
160 42.0000000000
780 44.0000000000
3045 46.0000000000
4994 34.0000000000
evaluations raw_y
1 24.0000000000
15 26.0000000000
19 28.0000000000
31 30.0000000000
49 32.0000000000
97 34.0000000000
318 36.0000000000
408 38.0000000000
525 40.0000000000
777 42.0000000000
826 44.0000000000
830 46.0000000000
4994 32.0000000000
evaluations raw_y
1 26.0000000000
3 28.0000000000
50 30.0000000000
143 32.0000000000
344 34.0000000000
365 36.0000000000
393 38.0000000000
462 40.0000000000
682 42.0000000000
835 44.0000000000
2932 46.0000000000
2955 48.0000000000
4994 36.0000000000
evaluations raw_y
1 28.0000000000
11 30.0000000000
57 32.0000000000
79 34.0000000000
82 36.0000000000
89 38.0000000000
516 40.0000000000
531 42.0000000000
688 44.0000000000
3023 46.0000000000
4994 26.0000000000
evaluations raw_y
1 30.0000000000
39 32.0000000000
45 34.0000000000
130 36.0000000000
207 38.0000000000
583 40.0000000000
645 42.0000000000
2627 44.0000000000
2728 46.0000000000
3012 48.0000000000
4994 34.0000000000
evaluations raw_y
1 22.0000000000
2 24.0000000000
4 26.0000000000
10 28.0000000000
11 32.0000000000
49 34.0000000000
50 36.0000000000
421 38.0000000000
461 40.0000000000
667 42.0000000000
911 44.0000000000
2502 46.0000000000
2647 48.0000000000
4994 30.0000000000
evaluations raw_y
1 26.0000000000
4 28.0000000000
12 32.0000000000
107 34.0000000000
279 36.0000000000
302 38.0000000000
562 40.0000000000
670 42.0000000000
681 44.0000000000
4994 34.0000000000
evaluations raw_y
1 24.0000000000
2 26.0000000000
3 28.0000000000
8 30.0000000000
13 32.0000000000
14 34.0000000000
43 36.0000000000
47 38.0000000000
606 40.0000000000
622 42.0000000000
876 44.0000000000
877 46.0000000000
4994 40.0000000000
evaluations raw_y
1 22.0000000000
3 24.0000000000
4 26.0000000000
7 30.0000000000
55 32.0000000000
149 34.0000000000
248 36.0000000000
254 38.0000000000
256 40.0000000000
733 42.0000000000
777 44.0000000000
837 46.0000000000
4994 36.0000000000
evaluations raw_y
1 24.0000000000
3 26.0000000000
6 28.0000000000
19 30.0000000000
66 32.0000000000
153 34.0000000000
166 36.0000000000
485 38.0000000000
592 40.0000000000
645 42.0000000000
651 44.0000000000
700 46.0000000000
4994 34.0000000000
evaluations raw_y
1 32.0000000000
112 34.0000000000
117 36.0000000000
144 38.0000000000
728 40.0000000000
934 42.0000000000
941 46.0000000000
4994 36.0000000000
evaluations raw_y
1 28.0000000000
23 30.0000000000
38 32.0000000000
73 34.0000000000
209 36.0000000000
