evaluations raw_y
1 1.5762925599
13 1.7146776406
17 2.1367521368
173 2.1968365554
559 2.2281639929
958 2.2935779817
1077 2.3629489603
1083 2.5987525988
1388 2.7839643653
1902 2.9976019185
2053 3.7091988131
3957 3.7993920973
4146 3.8940809969
5000 2.9411764706
evaluations raw_y
1 0.9637625289
5 1.6254876463
20 1.7146776406
85 1.8355359765
90 2.1663778163
322 2.5562372188
1152 2.7839643653
1154 2.8344671202
1259 3.2467532468
1514 3.4626038781
1931 3.8940809969
5000 1.5923566879
evaluations raw_y
1 0.5348737698
2 1.3691128149
5 1.3812154696
12 1.5006002401
34 1.7337031900
61 1.8573551263
77 2.1663778163
542 2.2281639929
564 2.5562372188
1094 2.9411764706
1300 3.0562347188
1332 3.2467532468
1409 3.3156498674
1553 3.7091988131
3390 3.8940809969
5000 3.3875338753
evaluations raw_y
1 1.3340448239
16 1.4723203769
22 1.7337031900
31 1.7531556802
76 1.8796992481
165 1.9025875190
235 2.0259319287
238 2.0798668885
243 2.3277467412
1286 2.3629489603
1310 2.3992322457
1438 2.5987525988
1536 2.9411764706
1829 3.1172069825
4860 3.1806615776
5000 1.7531556802
evaluations raw_y
1 1.7730496454
4 1.9500780031
78 2.1367521368
127 2.1663778163
733 2.3629489603
1194 2.4366471735
1336 2.5562372188
1357 3.1806615776
1704 3.2467532468
1777 3.7091988131
5000 2.5150905433
evaluations raw_y
1 0.9238728751
3 1.6254876463
10 2.3992322457
39 2.7839643653
2070 2.8344671202
2083 2.8868360277
3241 3.3875338753
5000 2.0525451560
evaluations raw_y
1 0.8973438622
2 1.0620220901
3 1.4585764294
17 1.4723203769
68 1.6778523490
75 1.9260400616
95 2.1367521368
252 2.1968365554
771 2.3992322457
1202 2.6881720430
1507 2.7352297593
1658 2.7839643653
1794 2.8868360277
1816 2.9411764706
1957 2.9976019185
2480 3.1806615776
2589 3.3156498674
2732 3.7993920973
5000 1.6425755585
evaluations raw_y
1 0.6971556051
2 1.0620220901
3 1.3572204126
4 1.4863258026
13 1.5451174289
19 1.5762925599
21 1.6778523490
88 1.8142235123
122 1.8796992481
201 2.1079258010
689 2.7352297593
1239 2.7839643653
1433 2.9976019185
1926 3.5410764873
5000 3.5410764873
evaluations raw_y
1 1.2487512488
2 1.6600265604
21 1.7146776406
48 2.0000000000
172 2.3277467412
338 2.5987525988
1178 2.6881720430
1234 2.7352297593
1254 2.9976019185
1378 3.0562347188
1856 3.1806615776
2197 3.2467532468
3787 3.3156498674
5000 1.6087516088
evaluations raw_y
1 0.8922198430
2 1.0993843448
3 1.3935340022
21 1.5006002401
59 1.6254876463
85 1.8796992481
454 2.0259319287
581 2.0525451560
733 2.6427061311
1632 3.0562347188
1817 3.2467532468
3463 3.6231884058
5000 1.6960651289
evaluations raw_y
1 1.2899896801
7 1.5006002401
10 1.7531556802
37 2.2935779817
981 2.5150905433
1106 2.5562372188
1214 2.7352297593
1689 2.7839643653
1713 2.8868360277
1928 3.0562347188
2019 3.1806615776
2025 3.2467532468
4976 3.6231884058
5000 1.4863258026
evaluations raw_y
1 0.8305647841
2 1.3007284079
6 1.7934002869
