evaluations raw_y
1 34.0000000000
160 36.0000000000
378 40.0000000000
548 42.0000000000
804 44.0000000000
5000 40.0000000000
evaluations raw_y
1 28.0000000000
2 30.0000000000
25 32.0000000000
59 34.0000000000
200 36.0000000000
368 38.0000000000
515 40.0000000000
806 42.0000000000
2907 44.0000000000
3427 46.0000000000
5000 42.0000000000
evaluations raw_y
1 16.0000000000
2 26.0000000000
4 28.0000000000
24 34.0000000000
118 36.0000000000
451 38.0000000000
562 40.0000000000
766 42.0000000000
1879 44.0000000000
5000 42.0000000000
evaluations raw_y
1 28.0000000000
36 32.0000000000
80 34.0000000000
187 36.0000000000
305 38.0000000000
481 40.0000000000
709 42.0000000000
5000 40.0000000000
evaluations raw_y
1 28.0000000000
8 32.0000000000
39 34.0000000000
351 38.0000000000
668 40.0000000000
2914 42.0000000000
3794 44.0000000000
4753 46.0000000000
5000 42.0000000000
evaluations raw_y
1 22.0000000000
3 30.0000000000
11 34.0000000000
187 36.0000000000
275 38.0000000000
290 40.0000000000
401 42.0000000000
2752 44.0000000000
5000 44.0000000000
evaluations raw_y
1 26.0000000000
4 28.0000000000
5 30.0000000000
42 32.0000000000
64 34.0000000000
378 36.0000000000
518 38.0000000000
693 40.0000000000
916 42.0000000000
919 44.0000000000
1214 46.0000000000
5000 40.0000000000
evaluations raw_y
1 22.0000000000
2 24.0000000000
3 32.0000000000
33 36.0000000000
417 38.0000000000
605 40.0000000000
757 42.0000000000
1212 44.0000000000
2305 46.0000000000
5000 44.0000000000
evaluations raw_y
1 26.0000000000
3 28.0000000000
7 30.0000000000
24 34.0000000000
263 36.0000000000
309 38.0000000000
313 40.0000000000
404 42.0000000000
576 44.0000000000
708 46.0000000000
5000 42.0000000000
evaluations raw_y
1 26.0000000000
6 28.0000000000
20 30.0000000000
32 32.0000000000
111 34.0000000000
284 38.0000000000
450 40.0000000000
511 42.0000000000
5000 42.0000000000
evaluations raw_y
1 22.0000000000
2 30.0000000000
4 32.0000000000
35 38.0000000000
729 40.0000000000
792 42.0000000000
1826 44.0000000000
5000 42.0000000000
evaluations raw_y
1 22.0000000000
4 24.0000000000
5 26.0000000000
8 30.0000000000
61 32.0000000000
174 34.0000000000
207 36.0000000000
404 38.0000000000
513 40.0000000000
681 42.0000000000
714 44.0000000000
5000 42.0000000000
evaluations raw_y
1 18.0000000000
2 26.0000000000
5 28.0000000000
9 32.0000000000
93 36.0000000000
406 38.0000000000
503 42.0000000000
702 44.0000000000
836 46.0000000000
5000 42.0000000000
evaluations raw_y
1 26.0000000000
2 30.0000000000
24 32.0000000000
61 34.0000000000
303 36.0000000000
400 38.0000000000
516 40.0000000000
587 42.0000000000
700 44.0000000000
1123 46.0000000000
5000 46.0000000000
evaluations raw_y
1 24.0000000000
2 28.0000000000
4 34.0000000000
439 36.0000000000
588 38.0000000000
693 40.0000000000
806 42.0000000000
822 44.0000000000
1551 46.0000000000
5000 44.0000000000
evaluations raw_y
1 32.0000000000
58 36.0000000000
460 38.0000000000
464 40.0000000000
646 42.0000000000
1426 44.0000000000
5000 38.0000000000
evaluations raw_y
1 18.0000000000
2 28.0000000000
3 30.0000000000
65 32.0000000000
168 34.0000000000
225 38.0000000000
378 40.0000000000
495 42.0000000000
682 44.0000000000
746 48.0000000000
5000 46.0000000000
evaluations raw_y
1 28.0000000000
3 34.0000000000
262 36.0000000000
373 38.0000000000
431 40.0000000000
476 42.0000000000
751 44.0000000000
1328 46.0000000000
5000 44.0000000000
evaluations raw_y
1 24.0000000000
2 26.0000000000
3 28.0000000000
9 30.0000000000
37 32.0000000000
150 34.0000000000
294 36.0000000000
303 38.0000000000
442 40.0000000000
612 42.0000000000
786 44.0000000000
5000 44.0000000000
evaluations raw_y
1 20.0000000000
2 28.0000000000
18 30.0000000000
54 32.0000000000
194 38.0000000000
454 40.0000000000
513 42.0000000000
559 44.0000000000
705 46.0000000000
894 48.0000000000
5000 44.0000000000
evaluations raw_y
1 26.0000000000
3 28.0000000000
11 30.0000000000
16 32.0000000000
76 34.0000000000
145 36.0000000000
413 38.0000000000
480 40.0000000000
1927 42.0000000000
3844 44.0000000000
5000 40.0000000000
evaluations raw_y
1 20.0000000000
2 22.0000000000
4 30.0000000000
